ID,Text
1_UK_DocM_V2_AccessAndUseOfBuildings,"People, regardless of disability, age or gender, should be able to:a. gain access to buildings and to gain access within buildings and use their facilities, both as visitors and as people who live or work in them."
2_UK_DocM_V2_AccessAndUseOfBuildings,"An extension to a non-domestic building should be treated in the same manner as a new building, as regards its own compliance with Part M. Under Requirement M2 there must be suitable independent access to the extension where reasonably practicable."
3_UK_DocM_V2_AccessAndUseOfBuildings,The extensions and the alterations of the existing building could be planned and carried out as a single project.
4_UK_DocM_V2_AccessAndUseOfBuildings,"Under Requirement M3, if sanitary conveniences are provided in any building that is to be extended, reasonable provision must be made within the extension for sanitary conveniences."
5_UK_DocM_V2_AccessAndUseOfBuildings,"In this case, too, the extension and the modifications to the existing building could be planned and carried out as a single project."
6_UK_DocM_V2_AccessAndUseOfBuildings,"Under regulation 4, where an alteration of a non-domestic building is a material alteration, the work itself must comply, where relevant, with Requirement M1."
7_UK_DocM_V2_AccessAndUseOfBuildings,"This means that alterations to features relevant to the compliance of a building with Part M, such as entrances or arrangements for people to get from one level to another within the building, must result in features that comply with Requirement M1."
8_UK_DocM_V2_AccessAndUseOfBuildings,"Where new features relevant to the compliance of a building with Part M are provided, these must also comply with Requirement M1."
9_UK_DocM_V2_AccessAndUseOfBuildings,Reasonable provision must be made for people to gain access to and to use new or altered sanitary conveniences.
10_UK_DocM_V2_AccessAndUseOfBuildings,"The building as a whole, including access to it from the site boundary and from on-site car parking where provided, must be no less compliant with Requirement M1 following a material alteration of a building."
11_UK_DocM_V2_AccessAndUseOfBuildings,"Under regulation 6, as amended, where there is a material change of use of the whole of a building to a hotel or boarding house, an institution, a public building or a shop, the building must be upgraded, if necessary, so as to comply with M1 (Access and use)."
12_UK_DocM_V2_AccessAndUseOfBuildings,"In particular, it should be noted that shop includes use as a restaurant, bar or public house."
13_UK_DocM_V2_AccessAndUseOfBuildings,"Under regulation 6, as amended, if an existing building undergoes a change of use such that part is used as a hotel or boarding house, an institution, a public building or a shop, such work if any shall be carried out as is necessary to ensure that:a. there is reasonable provision for people to gain access to that part from the site boundary and from on-site car parking where provided, either by means of an independent access or by means of a route to and through the building;b. that part itself complies with M1 (access and use); andc. any sanitary conveniences provided in, or in connection with, that part comply with Requirement M1: if users of that part have the use of sanitary conveniences elsewhere in the building, there must be reasonable provision for people to gain access to and use that sanitary accommodation, upgraded if need be."
