ID,Text
1_UK_DocB_V2_FireSafety,"In some small buildings/premises, the means of raising the alarm may be simple (for example, a shouted warning)."
2_UK_DocB_V2_FireSafety,Fire detection and alarm systems.
3_UK_DocB_V2_FireSafety,"1.3  Other than for some small buildings/premises, an electrically operated fire alarm system should be provided."
4_UK_DocB_V2_FireSafety,"In some situations, the alarm should be operated by a fire detection system."
5_UK_DocB_V2_FireSafety,The detailed specification should be compatible with the fire strategy for the building.
6_UK_DocB_V2_FireSafety,"In residential (institutional) and residential (other) occupancies (purpose groups 2(a) and 2(b)), automatic fire detection and alarms should be provided."
7_UK_DocB_V2_FireSafety,1.5  Automatic fire detection and alarm systems should be provided in nonresidential occupancies where a fire could break out in an unoccupied part of the premises (e.g.a storage area or a part of the building that is not visited on a regular basis) and prejudice the means of escape from occupied part(s) of the premises.
8_UK_DocB_V2_FireSafety,1.7  Every building design should be assessed individually.
9_UK_DocB_V2_FireSafety,Call points should be installed in accordance with BS 58391.
10_UK_DocB_V2_FireSafety,Design and installation of systems.
11_UK_DocB_V2_FireSafety,"1.16  Fire detection and alarm systems must be properly designed, installed and maintained."
12_UK_DocB_V2_FireSafety,"A design, installation and commissioning certificate should be provided for fire detection and alarm systems."
13_UK_DocB_V2_FireSafety,"Third party certification schemes for fire protection products and related services are an effective means of providing assurances of quality, reliability and safety."
14_UK_DocB_V2_FireSafety,The interface between systems must be reliable.
15_UK_DocB_V2_FireSafety,Particular care should be taken if the interface is facilitated via another system.
16_UK_DocB_V2_FireSafety,"Where any part of BS 7273 applies to the triggering of other systems, the recommendations of that part of BS 7273 should be followed."
17_UK_DocB_V2_FireSafety,Student accommodation.
18_UK_DocB_V2_FireSafety,"1.18 In student residences that are designed and occupied as a block of flats, separate automatic detection should be provided in each selfcontained flat where all of the following apply."
19_UK_DocB_V2_FireSafety,Section 2: Design for horizontal escape.
20_UK_DocB_V2_FireSafety,Introduction.
21_UK_DocB_V2_FireSafety,"2.1  Means of escape should be provided from any point on a storey to the storey exit, for all types of building."
22_UK_DocB_V2_FireSafety,No storey has an area more than 280m2.
23_UK_DocB_V2_FireSafety,Escape route design.
24_UK_DocB_V2_FireSafety,Number of escape routes and exits.
25_UK_DocB_V2_FireSafety,2.3  The number of escape routes and exits that should be provided depends on both of the following.
26_UK_DocB_V2_FireSafety,"In multistorey buildings, if more than one stair is needed for vertical escape, every part of each storey should have access to more than one stair."
27_UK_DocB_V2_FireSafety,"In mixed use buildings, separate means of escape should be provided from any storeys or parts  of storeys used for the residential or assembly and recreation purpose groups (purpose groups 1,  2 and 5)."
28_UK_DocB_V2_FireSafety,"For places of assembly and bars, no one room in this situation has more than 60 people."
29_UK_DocB_V2_FireSafety,"For residential (institutional) buildings (purpose group 2(a)), no one room in this situation has more than 30 people."
30_UK_DocB_V2_FireSafety,"A storey with no more than 60 people, where the limits on travel distance in one direction only are satisfied (see Table 2.1)."
31_UK_DocB_V2_FireSafety,The travel distance to the nearest storey exit is within the limits for routes where escape is possible in more than one direction (Table 2.1).
32_UK_DocB_V2_FireSafety,The travel distance for the one direction only section of the route does not exceed the limit for travel distance where there is no alternative escape route (Table 2.1).
33_UK_DocB_V2_FireSafety,Angle ABD should be at least 45 degrees.
34_UK_DocB_V2_FireSafety,Distance CBA or CBD (whichever is less)    should be no more than the maximum travel    distance given for alternative escape routes.
35_UK_DocB_V2_FireSafety,c. Distance CB should be no more than the     maximum travel distance where there are no    alternative escape routes.
36_UK_DocB_V2_FireSafety,The direct distance should be assumed to be twothirds of the actual travel distance.
37_UK_DocB_V2_FireSafety,Any solid substance with a flash point less than 120C.
38_UK_DocB_V2_FireSafety,Number of occupants and exits.
39_UK_DocB_V2_FireSafety,2.9  The building design should be based on the number of occupants.
40_UK_DocB_V2_FireSafety,"They are in directions less than 45 degrees apart, but separated from each other by fire resisting construction."
41_UK_DocB_V2_FireSafety,Alternative escape routes are available from C because angle ACBis 45 degrees or more and therefore distance CA or CB (whichever is the less) should be no more than the maximum travel distance given for alternative escape routes.
42_UK_DocB_V2_FireSafety,Alternative escape routes are not available from D because angleADB is less than 45 degrees (therefore see Diagram 2.1).
43_UK_DocB_V2_FireSafety,The occupant number of the inner room does not exceed:30 people for residential (institutional) buildings (purpose group 2(a))60 people for other purpose groups.
44_UK_DocB_V2_FireSafety,d.  The escape route from the inner room does not pass through more than one access room.
45_UK_DocB_V2_FireSafety,e.  The travel distance from any point in the inner room to the exits from the access room does not exceed the distances in Table 2.1.
46_UK_DocB_V2_FireSafety,Planning of exits in a central core.
47_UK_DocB_V2_FireSafety,"2.12  Where a central core has more than one exit, storey exits should be remote from one another and no two exits should be approached from the same lift hall, common lobby or undivided corridor (Diagram 2.4)."
48_UK_DocB_V2_FireSafety,NOTE: The doors at both ends of the area marked S should be self-closing re doorsets unless the area is subdivided such that any re in that area will not be able to prejudice both sections of corridor at the same time.
49_UK_DocB_V2_FireSafety,"If that area is a lift lobby, doors should be provided as shown in Figure 9 in BS 9999."
50_UK_DocB_V2_FireSafety,Access to storey exits.
51_UK_DocB_V2_FireSafety,"2.14  Where a storey has more than one escape stair, it should be planned so that it is not necessary to pass through one stair to reach another."
52_UK_DocB_V2_FireSafety,Separation of circulation routes from protected stairways.
53_UK_DocB_V2_FireSafety,"2.15  Where they serve protected stairways that are part of primary circulation routes, self-closing fire doors should be fitted with an automatic release mechanism, to avoid them being rendered ineffective by mis-use."
54_UK_DocB_V2_FireSafety,"A minimum of two escape routes should be provided from each area, except from inner rooms that meet the conditions in paragraph 2.11."
55_UK_DocB_V2_FireSafety,The means of escape from each occupancy should not pass through any other occupancy.
56_UK_DocB_V2_FireSafety,It should be a protected corridor.
57_UK_DocB_V2_FireSafety,A suitable automatic fire detection and alarm system should be installed throughout  the storey.
58_UK_DocB_V2_FireSafety,Widths less than 1050mm should not be interpolated.
59_UK_DocB_V2_FireSafety,"Remaining exits need to be wide enough for all occupants, so when using Table 2.3, the largest exit should be discounted."
60_UK_DocB_V2_FireSafety,Stairs should be at least as wide as any storey exit leading onto them.
61_UK_DocB_V2_FireSafety,"2.23  If a ground floor storey exit and a stair share a final exit (via a ground floor lobby), then the final exit should be wide enough to evacuate people at a maximum flow rate equal to or greater than from the storey exit and stair combined (Diagram 2.6)."
62_UK_DocB_V2_FireSafety,W is the width of final exit in metres.
63_UK_DocB_V2_FireSafety,N is the number of people served by ground floor storey exit.
64_UK_DocB_V2_FireSafety,S is the stair width in metres.
