ID,Text
1_UK_DocF_V2_Ventilation,"For blocks of flats with shared communal rooms, this approved document should be consulted for those rooms."
2_UK_DocF_V2_Ventilation,0.8  The local authoritys conservation officer should be consulted when undertaking work to a building in paragraphs 0.5a or 0.5b.
3_UK_DocF_V2_Ventilation,Emergency repairs.
4_UK_DocF_V2_Ventilation,"0.9  For emergency repairs, if it is not possible to notify the building control body in advance, the building control body should be notified as soon as possible."
5_UK_DocF_V2_Ventilation,Minor works.
6_UK_DocF_V2_Ventilation,"0.10  Minor works must comply with the relevant requirements of the Building Regulations, but the building control body does not need to be notified."
7_UK_DocF_V2_Ventilation,for a workshop or office) should be treated as a dwelling if the commercial part can be reverted to domestic use.
8_UK_DocF_V2_Ventilation,What constitutes a substantial proportion should be assessed on a casebycase basis by the building control body.
9_UK_DocF_V2_Ventilation,The larger of the window openings specified in Approved Document B or Approved Document F should be applied in all cases.
10_UK_DocF_V2_Ventilation,0.18  The guidance in Approved Document J should be followed when installing and testing ventilation appliances.
11_UK_DocF_V2_Ventilation,Combustion appliances must operate safely whether or not fans are running.
12_UK_DocF_V2_Ventilation,Interaction with Part L.0.19  Energy efficiency should be considered when specifying ventilation systems.
13_UK_DocF_V2_Ventilation,"Interaction with Part K and Part M.0.20 Manual controls, where provided for a ventilation device, should be within reasonable reach of the occupants."
14_UK_DocF_V2_Ventilation,"In this case, the higher of the two standards should be followed."
15_UK_DocF_V2_Ventilation,(1)   There shall be adequate means of ventilation provided for people in the building.
16_UK_DocF_V2_Ventilation,Limits on application.
17_UK_DocF_V2_Ventilation,Requirement F1 does not apply to a building or space within a building.
18_UK_DocF_V2_Ventilation,Intention.
19_UK_DocF_V2_Ventilation,"In the Secretary of States view, requirement F1(1) is met in a new building other than a dwelling if it has a means of ventilation that achieves all of the following."
20_UK_DocF_V2_Ventilation,Noise.
21_UK_DocF_V2_Ventilation,"1.5  Mechanical ventilation systems, including both continuous and intermittent mechanical ventilation, should be designed and installed to minimise noise."
22_UK_DocF_V2_Ventilation,"Ensuring that equipment is appropriately and securely fixed, such as using resilient mountings where noise carried by the structure of the building could be a problem."
23_UK_DocF_V2_Ventilation,"1.6  For mechanical ventilation systems, fan units should be appropriately sized so that fans operating in normal background ventilation mode are not overly noisy, taking into consideration the use and likely background level of noise from other sources."
24_UK_DocF_V2_Ventilation,Access for maintenance.
25_UK_DocF_V2_Ventilation,"1.7  Reasonable access should be provided for maintaining ventilation systems, including all of the following."
26_UK_DocF_V2_Ventilation,Other ventilation systems may be acceptable if they can be shown to meet an equal level of performance.
27_UK_DocF_V2_Ventilation,"Where lower ventilation rates are proposed, expert advice should be obtained to demonstrate that the solution meets the performance standards in Appendix B."
28_UK_DocF_V2_Ventilation,Installation of ventilation systems.
29_UK_DocF_V2_Ventilation,1.16  Ventilation systems should be installed to meet both of the following conditions.
30_UK_DocF_V2_Ventilation,1.17  Rigid ducts should be used wherever possible.
31_UK_DocF_V2_Ventilation,"Where necessary, flexible ducts may be used for final connections, but their lengths should be kept to a minimum."
32_UK_DocF_V2_Ventilation,1.18  Ductwork installations should be designed and installed to minimise the overall pressure losses within the system by taking all of the following steps.
33_UK_DocF_V2_Ventilation,1.19  Duct connections should be both mechanically secured and adequately sealed to prevent leaks.
34_UK_DocF_V2_Ventilation,Rigid connectors and jubilee clips should be used for flexible ducting to ensure a good seal.
35_UK_DocF_V2_Ventilation,1.20  Mechanical ventilation systems must be commissioned in accordance with an approved procedure.
36_UK_DocF_V2_Ventilation,Indoor air quality monitoring.
37_UK_DocF_V2_Ventilation,"1.21  In new buildings, the following types of occupiable room, unless they are rooms of the size described in paragraph 1.22, should have a means of monitoring the indoor air quality."
38_UK_DocF_V2_Ventilation,This may be achieved using CO2 monitors or other means of measuring indoor air quality.
39_UK_DocF_V2_Ventilation,d.  Be placed at least 500mm from people where practicable.
40_UK_DocF_V2_Ventilation,NOTE: Additional details on CO2 monitoring for indoor air quality can be found in Appendix C.Ventilation for offices.
41_UK_DocF_V2_Ventilation,Extract ventilation for offices.
42_UK_DocF_V2_Ventilation,1.24  Extract ventilation should be provided in offices in all the following areas.
43_UK_DocF_V2_Ventilation,e.  Rooms that are designed to contain printers and photocopiers in substantial use (more than  30 minutes per hour).
44_UK_DocF_V2_Ventilation,NOTE: Rooms that are designed to contain printers and photocopiers in substantial use (more than 30 minutes per hour) should not be designed to be occupied.
45_UK_DocF_V2_Ventilation,"1.25  For rooms designed to contain printers and photocopiers in substantial use (more than 30 minutes per hour), both of the following should apply."
46_UK_DocF_V2_Ventilation,The air extract rate should be 20 litres per second per machine during use.
47_UK_DocF_V2_Ventilation,The whole building ventilation rate should be met.
48_UK_DocF_V2_Ventilation,1.27  Extract ventilators in sanitary accommodation should be capable of continuous operation if required.
49_UK_DocF_V2_Ventilation,The locations of extract ventilators should be both of the following.
50_UK_DocF_V2_Ventilation,"Where used, passive stack ventilation terminals should be located in the ceiling."
51_UK_DocF_V2_Ventilation,Whole building ventilation rates for offices.
52_UK_DocF_V2_Ventilation,1.32  Outdoor air should be supplied for occupiable rooms in offices at whichever of the following will provide the higher total rate.
53_UK_DocF_V2_Ventilation,"1.33  Common spaces in offices, including rooms or spaces used solely or mainly for circulation, such as corridors and lift lobbies, should be provided with either of the following."
54_UK_DocF_V2_Ventilation,Natural ventilation by appropriately located ventilation opening(s) with a total opening area of at least 1/50 of the floor area of the common space.
55_UK_DocF_V2_Ventilation,Purge ventilation for offices.
56_UK_DocF_V2_Ventilation,"1.35  Each office should have the means to provide purge ventilation, to reduce pollutants before the office space is occupied or after activities such as painting."
57_UK_DocF_V2_Ventilation,Controls for offices.
58_UK_DocF_V2_Ventilation,1.36  Controls should be provided for ventilators so that the ventilation in each room can be adjusted.
59_UK_DocF_V2_Ventilation,Recirculation of air within ventilation systems in offices.
60_UK_DocF_V2_Ventilation,"1.37  Ventilation systems that, under normal operation, recirculate air between more than one space, room or zone should also be able to operate in a mode that reduces the risk of the transmission of airborne infection."
61_UK_DocF_V2_Ventilation,Ventilation of car parks.
62_UK_DocF_V2_Ventilation,"1.38  For car parks below ground level, enclosed car parks and multistorey car parks, the ventilation rate should be designed, and equipment installed, to limit carbon monoxide to both of the following:a.  natural ventilation by appropriately located ventilation opening(s) with a total opening area of at least 1/50 of the floor area of the common space; b.  mechanical ventilation installed to provide a supply of fresh air of 0.5 litres per second per m2 of floor area."
