ID,Text
1_UK_DocM_V1_AccessAndUseOfBuildings,"Compliance should be assessed against only one of requirements M4(1), M4(2) or M4(3) for any given dwelling."
2_UK_DocM_V1_AccessAndUseOfBuildings,0.5  Where a local planning authority sets a planning condition for Category 3 (wheelchair user) housing it can specify which dwellings should be wheelchair accessible by including in the planning permission a condition stating that optional requirement M4(3)(2)(b) applies.
3_UK_DocM_V1_AccessAndUseOfBuildings,"Where no such condition is applied, optional requirement M4(3)(2)(a) will apply by default requiring that dwellings should be wheelchair adaptable."
4_UK_DocM_V1_AccessAndUseOfBuildings,0.6  The person carrying out building work must inform the building control body where any optional requirements apply.
5_UK_DocM_V1_AccessAndUseOfBuildings,Material alterations.
6_UK_DocM_V1_AccessAndUseOfBuildings,"0.11  Where a dwelling is subject to a material alteration, the building should be no less compliant with requirement M4(1) than it was prior to the building work taking place."
7_UK_DocM_V1_AccessAndUseOfBuildings,0.13  Requirements for accessibility should be balanced against preserving historic buildings or environments.
8_UK_DocM_V1_AccessAndUseOfBuildings,"0.15  In meeting the provisions of Part M by providing a level or ramped approach and level threshold, care must be taken to ensure the moisture resistance and design of the dwelling as a whole also complies with requirements C2 and C4."
9_UK_DocM_V1_AccessAndUseOfBuildings,"Reasonable provision should be made for  people to(a)  gain access to; and(b)  use, the dwelling and its facilities."
10_UK_DocM_V1_AccessAndUseOfBuildings,"Requirement M4(1) does not apply to:(a)  an extension to a dwelling; or(b)  any part of a building that is used solely to enable the building or any service or fitting in the building to be inspected, repaired or maintained."
11_UK_DocM_V1_AccessAndUseOfBuildings,Approach routes.
12_UK_DocM_V1_AccessAndUseOfBuildings,General.
13_UK_DocM_V1_AccessAndUseOfBuildings,"1.3  The approach route should be safe and convenient for everyone, including older and disabled people and some wheelchair users."
14_UK_DocM_V1_AccessAndUseOfBuildings,It should adopt the shallowest gradient that can reasonably be achieved and be stepfree where possible.
15_UK_DocM_V1_AccessAndUseOfBuildings,"1.4  The approach route should be level, gently sloping, or, where necessary, ramped."
16_UK_DocM_V1_AccessAndUseOfBuildings,"c.  The approach route is a minimum of 900mm wide with a maximum cross fall of 1 in 40.d.  Where a driveway forms all, or part of, the approach route, an additional allowance of at least 900mm wide should be provided so that a wheelchair user can pass a parked car."
17_UK_DocM_V1_AccessAndUseOfBuildings,a.
18_UK_DocM_V1_AccessAndUseOfBuildings,Individual flights are: for gradients up to 1:15  not more than 10m long;for gradients up to 1:12  not more than 5m long.
19_UK_DocM_V1_AccessAndUseOfBuildings,b.
20_UK_DocM_V1_AccessAndUseOfBuildings,Every flight has a minimum clear width of 900mm.
21_UK_DocM_V1_AccessAndUseOfBuildings,c.  No individual flight has a rise of more than 1800mm between landings.
22_UK_DocM_V1_AccessAndUseOfBuildings,"Where a lift is provided, it should be suitable for a wheelchair user."
23_UK_DocM_V1_AccessAndUseOfBuildings,The load capacity is at least 400kg.
24_UK_DocM_V1_AccessAndUseOfBuildings,The system can be overridden by a door reactivating device that relies on appropriate electronic methods (but not a door edge pressure system); provided that the lift door remains fully open for at least three seconds.
25_UK_DocM_V1_AccessAndUseOfBuildings,"When the lift serves more than three storeys, it provides visual and audible indicators to identify the floor reached."
26_UK_DocM_V1_AccessAndUseOfBuildings,Private stairs and changes of level within the entrance storey.
27_UK_DocM_V1_AccessAndUseOfBuildings,"1.16  To provide easy access between rooms on the entrance storey, a stepped change of level within the entrance storey should be avoided where possible."
28_UK_DocM_V1_AccessAndUseOfBuildings,Requirement.
29_UK_DocM_V1_AccessAndUseOfBuildings,Optional requirement.
30_UK_DocM_V1_AccessAndUseOfBuildings,Part M access to and use of buildings.
31_UK_DocM_V1_AccessAndUseOfBuildings,Category 2  accessible and adaptable dwellings.
32_UK_DocM_V1_AccessAndUseOfBuildings,Limits on application.
33_UK_DocM_V1_AccessAndUseOfBuildings,M4(2) optional requirement.
34_UK_DocM_V1_AccessAndUseOfBuildings,Optional requirement M4(2).
35_UK_DocM_V1_AccessAndUseOfBuildings,"(1)  Reasonable provision must be made for people to(a)  may apply only in relation to a dwelling that is (a)  gain access to; and(b)  use, the dwelling and its facilities."
36_UK_DocM_V1_AccessAndUseOfBuildings,"(2)  The provision made must be sufficient to(a)  meet the needs of occupants with differing needs, including some older or disabled people; and(b)  to allow adaptation of the dwelling to meet the changing needs of occupants over time."
37_UK_DocM_V1_AccessAndUseOfBuildings,2.4  Reasonable provision should be made to ensure that the approach route to any communal facilities that serve the dwelling meets these provisions.
38_UK_DocM_V1_AccessAndUseOfBuildings,Approach routes.
39_UK_DocM_V1_AccessAndUseOfBuildings,General.
40_UK_DocM_V1_AccessAndUseOfBuildings,"2.6  The approach route should be safe and convenient, adopt the shallowest gradient that can reasonably be achieved and be stepfree, irrespective of the storey on which the dwelling is located."
41_UK_DocM_V1_AccessAndUseOfBuildings,"2.7  Where it is not reasonable to achieve a stepfree approach route to the principal private entrance, a stepfree approach route should be provided to a suitable alternative private entrance instead."
42_UK_DocM_V1_AccessAndUseOfBuildings,c.  No individual flight has a rise between landings of more than 1800mm.
43_UK_DocM_V1_AccessAndUseOfBuildings,Where the parking is within the private curtilage of the dwelling (but not within a carport or garage) at least one space is a standard parking bay that can be widened to 3.3m.
44_UK_DocM_V1_AccessAndUseOfBuildings,"Where communal parking is provided to blocks of flats, at least one standard parking bay is provided close to the communal entrance of each core of the block (or to the lift core where the parking bay is internal)."
45_UK_DocM_V1_AccessAndUseOfBuildings,e.  The gradient is as shallow as the site permits.
46_UK_DocM_V1_AccessAndUseOfBuildings,"k.  Door entry controls, where provided, are mounted 9001000mm above finished ground level, and at least 300mm away from any projecting corner."
47_UK_DocM_V1_AccessAndUseOfBuildings,Communal lifts and stairs.
48_UK_DocM_V1_AccessAndUseOfBuildings,Communal lifts.
49_UK_DocM_V1_AccessAndUseOfBuildings,"2.16  A wide range of people, including accompanied wheelchair users, should be able to access and use the lift."
50_UK_DocM_V1_AccessAndUseOfBuildings,Table 2.1 Minimum widths of corridors and passageways for a range of doorway widths.
51_UK_DocM_V1_AccessAndUseOfBuildings,NOTE 2: Double doors effectively provide nibs where each leaf is at least 300mm wide.
52_UK_DocM_V1_AccessAndUseOfBuildings,"NOTE: For the purpose of demonstrating compliance with these provisions, beds should be of the size set out in the furniture schedule in Appendix D.Sanitary facilities."
53_UK_DocM_V1_AccessAndUseOfBuildings,General provisions.
54_UK_DocM_V1_AccessAndUseOfBuildings,"2.26 All walls, ducts and boxings to the WC/cloakroom, bathroom and shower room should be  strong enough to support grab rails, seats and other adaptations that could impose a load of up to 1.5kN/m2."
55_UK_DocM_V1_AccessAndUseOfBuildings,In WC/cloakrooms the basin and/or WC may encroach into the shower space but this should be minimised.
56_UK_DocM_V1_AccessAndUseOfBuildings,Any radiator or towel rail should be clear of all access zones.
57_UK_DocM_V1_AccessAndUseOfBuildings,"c.  The handle to at least one window in the principal living area is located between 450mm and 1200mm above floor level, unless the window is fitted with a remote opening device that is within this height range."
58_UK_DocM_V1_AccessAndUseOfBuildings,Requirement.
59_UK_DocM_V1_AccessAndUseOfBuildings,Optional requirement.
60_UK_DocM_V1_AccessAndUseOfBuildings,Category 3  wheelchair user dwellings.
61_UK_DocM_V1_AccessAndUseOfBuildings,Limits on application.
62_UK_DocM_V1_AccessAndUseOfBuildings,M4(3) optional requirement.
63_UK_DocM_V1_AccessAndUseOfBuildings,Optional requirement M4(3).
64_UK_DocM_V1_AccessAndUseOfBuildings,"(1)  Reasonable provision must be made for people to(a)  may apply only in relation to a dwelling that is (a)  gain access to, and(b)  use, the dwelling and its facilities."
65_UK_DocM_V1_AccessAndUseOfBuildings,(2)  The provision made must be sufficient to(a)  allow simple adaptation of the dwelling to meet the needs of occupants who use wheelchairs; or(b)  meet the needs of occupants who use wheelchairs.
66_UK_DocM_V1_AccessAndUseOfBuildings,Optional requirement M4(3) (2)(b) applies only  where the planning permission under which the building work is carried out specifies that it shall  be complied with.
67_UK_DocM_V1_AccessAndUseOfBuildings,"d.  The dwelling is wheelchair adaptable such that key parts of the accommodation, including sanitary facilities and kitchens, could be easily altered to meet the needs of a wheelchair user or, where required by a local planning authority, the dwelling is wheelchair accessible."
68_UK_DocM_V1_AccessAndUseOfBuildings,Approach routes.
69_UK_DocM_V1_AccessAndUseOfBuildings,General provisions.
70_UK_DocM_V1_AccessAndUseOfBuildings,"3.7  The approach route should be safe and convenient for everyone, be at the shallowest gradient that can reasonably be achieved, and be stepfree, irrespective of the storey on which the dwelling is located."
71_UK_DocM_V1_AccessAndUseOfBuildings,3.8  A step-free approach route should be provided to all private entrances.
72_UK_DocM_V1_AccessAndUseOfBuildings,c.  No individual flight has a rise of more than 1800mm between landings.
73_UK_DocM_V1_AccessAndUseOfBuildings,This grippable handrail is  8501000mm above the pitch line of the flight and extends at least 300mm beyond the top  and bottom nosings.
74_UK_DocM_V1_AccessAndUseOfBuildings,l.  Power assisted opening is provided where the opening force of the door is more than  30N from 0 to 30 or more than 22.5N from 30 to 60 of the opening cycle.
75_UK_DocM_V1_AccessAndUseOfBuildings,"3.20 In order to demonstrate that the dwelling is capable of meeting the functional and spatial provisions for a wheelchair adaptable or wheelchair accessible dwelling, furnished plan layouts that show the access zones and other provisions of Section 3B and the furniture of the furniture schedule included as Appendix D of this approved document should be provided to a scale of at least 1:100."
76_UK_DocM_V1_AccessAndUseOfBuildings,Number of bedrooms.
77_UK_DocM_V1_AccessAndUseOfBuildings,Minimum storage area (m2).
78_UK_DocM_V1_AccessAndUseOfBuildings,"NOTE: For the purposes of Table 3.1, include areas with reduced headroom as follows:  headroom between 900mm and 1500mm: at 50 of its arealower than 900mm: do not count."
79_UK_DocM_V1_AccessAndUseOfBuildings,The full area under a stair that forms part of the storage provision should be counted as 1m2.
80_UK_DocM_V1_AccessAndUseOfBuildings,Through-floor lifting device provision.
81_UK_DocM_V1_AccessAndUseOfBuildings,"3.27 To ensure that provision can be made for a wheelchair user to access to all parts of a dwelling on more than one floor level, the dwelling should comply with either the requirements of paragraph 3.28 for a wheelchair adaptable dwelling or 3.29 for a wheelchair accessible dwelling."
82_UK_DocM_V1_AccessAndUseOfBuildings,"3.28 Where the dwelling is defined as wheelchair adaptable, it should be easy to install a lift."
83_UK_DocM_V1_AccessAndUseOfBuildings,"Any floors, walls and doors that have been installed to allow the potential liftway to be used as storage or for other purposes could be easily removed without structural alteration."
84_UK_DocM_V1_AccessAndUseOfBuildings,"3.29 Where the dwelling is defined as wheelchair accessible, a suitable throughfloor lift or lifting platform should be installed and commissioned and the dwelling should comply with all of the following."
85_UK_DocM_V1_AccessAndUseOfBuildings,"c.  A minimum 1500mm clear turning circle, clear of the liftway door when open at 90 degrees, could be provided in front of the liftway door at every floor level, as shown in Diagram 3.7.d.  A power socket, suitable for powering the lifting device, is provided close to the liftway."
86_UK_DocM_V1_AccessAndUseOfBuildings,f.  Lifting devices should be positioned with the end opposite to the entry point located against a wall at every floor level.
87_UK_DocM_V1_AccessAndUseOfBuildings,2.Turning circle should be clear of top step of any adjacent flight of steps.
88_UK_DocM_V1_AccessAndUseOfBuildings,all dimensions are minimum except where noted.
89_UK_DocM_V1_AccessAndUseOfBuildings,Private stairs and changes of level within the dwelling.
90_UK_DocM_V1_AccessAndUseOfBuildings,"3.30 An ambulant disabled person should be able to move within, and between, storeys."
91_UK_DocM_V1_AccessAndUseOfBuildings,"3.32  The relationship between the kitchen, dining and living areas should be convenient and step-free."
92_UK_DocM_V1_AccessAndUseOfBuildings,The overall length of kitchen worktop meets at least the provisions of Table 3.3.
93_UK_DocM_V1_AccessAndUseOfBuildings,"Drawings demonstrate how the kitchen could be easily adapted to meet the provisions of  paragraph 3.34 and Table 3.4 at a future date without compromising the space in any other part of the dwelling and without the need to move structural walls, stacks or concealed drainage."
94_UK_DocM_V1_AccessAndUseOfBuildings,"Unit length should be measured through midline of theworktop, not the front or rear edge."
95_UK_DocM_V1_AccessAndUseOfBuildings,"Allow for shallow, insulated sink bowl with swivel, mixer tap  and flexible plumbing and provide a min."
96_UK_DocM_V1_AccessAndUseOfBuildings,c.  The sink is not more than 150mm deep with insulation to the underside to prevent scalding  of a wheelchair users legs.
97_UK_DocM_V1_AccessAndUseOfBuildings,d.  Taps should be lever operated and capable of easy operation.
98_UK_DocM_V1_AccessAndUseOfBuildings,g.  There is a minimum of 400mm of worktop to at least one side of the oven and fridge or fridge freezer where this is taller than the worktop height (or to one side of a pair of tall appliances where they are located together at the end of a run).
99_UK_DocM_V1_AccessAndUseOfBuildings,Bedrooms.
100_UK_DocM_V1_AccessAndUseOfBuildings,3.35  One bedroom should be close to an accessible bathroom suitable for a wheelchair user.
101_UK_DocM_V1_AccessAndUseOfBuildings,All other bedrooms should be accessible to a wheelchair user.
102_UK_DocM_V1_AccessAndUseOfBuildings,Every single bedroom has a minimum floor area of 8.5m2 and is at least 2.4m wide.
103_UK_DocM_V1_AccessAndUseOfBuildings,"d.  All walls, ducts and boxings to every WC/cloakroom, bath and shower room are strong enough to support grab rails, seats and other adaptations that could impose a load of 1.5kN/m2."
