ID,Text
1_UK_DocO_Overheating,Table 0.1  Residential buildings within the scope of this approved document Shared communal rooms and common spaces.
2_UK_DocO_Overheating,0.4  Shared communal rooms and common spaces of buildings containing more than one residential unit fall within the scope of this approved document.
3_UK_DocO_Overheating,A unit that contains both living accommodation and space for commercial purposes (e.g.
4_UK_DocO_Overheating,"as aworkshop or office) should be treated as a residential building, as long as the commercial part canrevert to residential use."
5_UK_DocO_Overheating,What constitutes a substantial proportion should be assessed on a casebycase basis by the building control body.
6_UK_DocO_Overheating,Alternative approaches are possible but they should be discussed and agreed with a building control body before building work starts.
7_UK_DocO_Overheating,"0.9  The legal requirements of the Building Regulations must be met, regardless of whether the guidance in this approved document is followed or alternative measures are taken."
8_UK_DocO_Overheating,"0.10  If alternative ways of mitigating overheating are adopted, the overall level of overheating risk reduction should not be lower than the approved document provides."
9_UK_DocO_Overheating,"Interaction with Part F.0.13  This approved document, Approved Document O, includes guidance on providing means of removing excess heat from residential buildings."
10_UK_DocO_Overheating,"Where openings are used, the amount of ventilation for removing excess heat is likely to be higher than the purge ventilation required for Part F. The higher amount of ventilation applies  see Section 1 or Section 2 of this approved document, depending on the method of compliance."
11_UK_DocO_Overheating,0.15  The guidance in Approved Document J should be followed when installing and testing ventilation appliances and combustion appliances must operate safely whether or not fans are running.
12_UK_DocO_Overheating,Control of heat losses from pipework is dealt with under Part L of the Building Regulations and the guidance in Approved Document L should be followed.
13_UK_DocO_Overheating,"Interaction with Part K and Part M.0.18  Where manual controls are provided, they should be within reasonable reach of the occupants, to comply with Approved Documents K and M. Interaction with Part K.0.19  This approved document, Approved Document O, gives guidance on increased levels of protection from falling from openings compared to Part K. Interaction with Part Q."
14_UK_DocO_Overheating,"0.20 This approved document, Approved Document O, gives guidance on security considerations when providing large openings for removing excess heat."
15_UK_DocO_Overheating,Limits on application.
16_UK_DocO_Overheating,Requirement.
17_UK_DocO_Overheating,O1 Overheating mitigation.
18_UK_DocO_Overheating,"Reasonable provision must be made in respect of a dwelling, institution or any other building containing one or more rooms for residential purposes, other than a room in a hotel (residences) to(a)  limit unwanted solar gains in summer;(b)   provide an adequate means to remove heat from the indoor environment."
19_UK_DocO_Overheating,"In meeting the obligations in paragraph (1)(a)   account must be taken of the safety of any occupant, and their reasonable enjoyment of the residence; and(b)   mechanical cooling may only be used where insufficient heat is capable of being removed from the indoor environment without it."
20_UK_DocO_Overheating,Providing an adequate means of removing excess heat from the indoor environment.
21_UK_DocO_Overheating,"The simplified method for limiting solar gains and providing a means of removing excess heat, as set out in Section 1."
22_UK_DocO_Overheating,Categorising residential buildings (simplified method).
23_UK_DocO_Overheating,"1.2  For the simplified method, the strategy to reduce overheating risk should be selected according to the location of the new residential building and whether it has crossventilation, following paragraphs 1.3 to 1.5."
24_UK_DocO_Overheating,"1.4  For the purposes of following the simplified method, it should be identified whether the dwellinghouse or each residential unit, shared communal room and common space is able to have crossventilation, i.e."
25_UK_DocO_Overheating,"Each residential unit, shared communal room and common space should be categorised separately."
26_UK_DocO_Overheating,To provide an appropriate means of removing excess heat from the indoor environment  follow paragraphs 1.10 to 1.13.
27_UK_DocO_Overheating,Limiting solar gains.
28_UK_DocO_Overheating,"1.6  To limit solar gains, all of the following standards should be followed."
29_UK_DocO_Overheating,This should be determined using the orientation of the faade that has the largest area of glazing.
30_UK_DocO_Overheating,This should be determined using the orientation of the faade that has the largest area of glazing.
31_UK_DocO_Overheating,1.7  Buildings or parts of buildings with crossventilation should not exceed the maximum glazing areas in Table 1.1.
