ID,Text
1_UK_DocS_InfrastructureForChargingOfElectricalVehicles,"Where a car park is constructed or work is carried out to an existing car park, care must be taken to ensure that the fire safety requirements of the Building Regulations have been met."
2_UK_DocS_InfrastructureForChargingOfElectricalVehicles,"Manual controls, where provided, should be within reasonable reach of the occupants."
3_UK_DocS_InfrastructureForChargingOfElectricalVehicles,Access requirements must be considered when locating electric vehicle charge points.
4_UK_DocS_InfrastructureForChargingOfElectricalVehicles,Accessible parking spaces must meet the Part M requirements.
5_UK_DocS_InfrastructureForChargingOfElectricalVehicles,"Where electrical work is carried out for a dwelling, Part P of the Building Regulations must be met."
6_UK_DocS_InfrastructureForChargingOfElectricalVehicles,Requirement.
7_UK_DocS_InfrastructureForChargingOfElectricalVehicles,The erection of new residential buildings(1)   A new residential building with associated parking must have access to electric vehicle charge points as provided for in paragraph (2).
8_UK_DocS_InfrastructureForChargingOfElectricalVehicles,"(2)  The number of associated parking spaces which have access to electric vehicle charge points must be(a)   the total number of associated parking spaces, where there are fewer associated parking spaces than there are dwellings contained in the residential building; or(b)   the number of associated parking spaces that is equal to the total number of dwellings contained in the residential building, where there are the same number of associated parking spaces as, or more associated parking spaces than, there are dwellings."
9_UK_DocS_InfrastructureForChargingOfElectricalVehicles,"(3)   Cable routes for electric vehicle charge points must be installed in any associated parking spaces which do not, in accordance with paragraph (2), have an electric vehicle charge point where(a)  a new residential building has more than 10 associated parking spaces; and(b)  there are more associated parking spaces than there are dwellings contained in the residential building."
10_UK_DocS_InfrastructureForChargingOfElectricalVehicles,(2)   The number of electric vehicle charge points that must be installed is the maximum number of electric vehicle charge points that it is possible to install at an average sum of 3600 or less for the connection cost of each electric vehicle charge point connection (the 3600 cap).
11_UK_DocS_InfrastructureForChargingOfElectricalVehicles,"(3)   If it is not possible to completely fulfil the requirements of paragraph S1(2) of Schedule 1 as a result of the operation of the 3600 cap, cable routes for electric vehicle charge points must be installed in the associated parking spaces that would otherwise be required to have electric vehicle charge points, but for the operation of the 3600 cap."
12_UK_DocS_InfrastructureForChargingOfElectricalVehicles,"(4)   Where the new residential building has, or will have, associated parking that is situated within a covered car park(a)   if there are or will be any associated parking spaces situated in a position other than in a covered car park(i)   the requirements of paragraph S1 of Schedule 1 must first be applied in relation to those parking spaces; then(ii)   if the number of associated parking spaces, which are situated in a position other than in a covered car park, is insufficient to completely fulfil the requirements of paragraph S1(2) of Schedule 1, cable routes for electric vehicle charge points must be installed in(aa)  the number of parking spaces in the covered car park which, when added to the number of associated parking spaces which are situated in a position other than in the covered car park, corresponds to the total number of dwellings with associated parking, where the total number of associated parking spaces is 10 or less;(bb)   all the associated parking spaces in the covered car park, where the total number of associated parking spaces is both less than the number of dwellings with associated parking and 10 or less; and(cc) all the associated parking spaces in the covered car park, where the total number of associated parking spaces is more than 10;(b) if all the associated parking spaces are situated in a covered car park, cable routes for electric vehicle charge points must be installed(i)   where there are 10 or fewer parking spaces(aa) in the number of associated parking spaces in the covered car park which corresponds to the total number of dwellings with associated parking;(bb)   in all the parking spaces where there are fewer parking spaces than there are dwellings;(ii)  in all the parking spaces in the covered car park, where there are more than 10 parking spaces."
13_UK_DocS_InfrastructureForChargingOfElectricalVehicles,The building has more than 10 associated parking spaces.
14_UK_DocS_InfrastructureForChargingOfElectricalVehicles,Section 1: New residential buildings.
15_UK_DocS_InfrastructureForChargingOfElectricalVehicles,New dwellings.
16_UK_DocS_InfrastructureForChargingOfElectricalVehicles,"1.1  Where associated parking spaces are provided for a new residential building, the number of associated parking spaces that have access to an electric vehicle charge point must be a minimum of either of the following."
17_UK_DocS_InfrastructureForChargingOfElectricalVehicles,If either:a.  the average connection cost for an electric vehicle charge point connection is greater  than 3600;b.  some of the associated parking spaces associated with the new residential building are within  a covered car parkthe total number of associated parking spaces which have access to either an electric vehicle charge point or cable routes must be a minimum of either of the following.
18_UK_DocS_InfrastructureForChargingOfElectricalVehicles,If the number of associated parking spaces for the new residential building is botha. more than 10;b. more than the number of dwellingscable routes must be provided for all associated parking spaces which do not have access to an electric vehicle charge point.
19_UK_DocS_InfrastructureForChargingOfElectricalVehicles,"The average connection cost for each electric vehicle charge point connection is less than 3600, determined according to paragraph 1.5."
