ID,Text
1_UK_DocA_Structure,"(1) The building shall be constructed so that the combined dead,imposed and wind loads are sustained and transmitted by it to theground:(a) safely; and(b) without causing such deflection or deformation of anypart of the building, or such movement of the ground, as will impairthe stability of any part of another building."
2_UK_DocA_Structure,(2) In assessing whether a building complies with subparagraph(1) regard shall be had to the imposed and wind loads to which it islikely to be subjected in the ordinary course of its use for the purposefor which it is intended.
3_UK_DocA_Structure,"The building shall be constructed so that ground movementcaused by:(a) swelling, shrinkage or freezing of the subsoil; or(b) landslip or subsidence (other than subsidence arisingfrom shrinkage), in so far as the risk can be reasonably foreseen,will not impair the stability of any part of the building."
4_UK_DocA_Structure,The design should be based on identificationof the hazards to which the structure is likelyto be subjected and assessment of the risks.
5_UK_DocA_Structure,The selection of relevant critical situationsfor design should be made reflecting theconditions that can reasonably be foreseenduring future use.
6_UK_DocA_Structure,"Dead load, imposed load and windload should be in accordance with the currentCodes of practice referred to in Section 1 ofthis document."
7_UK_DocA_Structure,"The numeric values of safety factors, whetherexpressed explicitly or implicitly in designequations, or design values, should be derivedfrom considerations of the above aspects ofdesign and construction as a whole."
8_UK_DocA_Structure,Such conditions should betaken into account in the design of the buildingand its foundations.
9_UK_DocA_Structure,"The Institution of Structural EngineersTechnical Publication Appraisal of ExistingStructures (third edition), 2010Note: With reference to design checks in thereferenced Institution of Structural EngineersTechnical Publication the choice of various partialfactors should be made to suit the individualcircumstances of each case."
10_UK_DocA_Structure,Section 2C.
11_UK_DocA_Structure,"Thickness of masonry walls in certain residentialbuildings of not more than three storeys, smallsingle-storey non-residential buildings and annexes."
12_UK_DocA_Structure,2.2 Section 2A gives general rules which mustbe observed in following Sections 2B and 2C.
13_UK_DocA_Structure,Section 2A: Basic requirements for stability.
14_UK_DocA_Structure,2A1 This section must be used in conjunctionwith sections 2B and 2C and its principles relateto all forms of lowrise residential buildings.
15_UK_DocA_Structure,2A2 Adequate provision shall be made toensure that the building is stable under the likelyimposed and wind loading conditions.
16_UK_DocA_Structure,"However, the need fordiagonal rafter bracing equivalent to thatrecommended in BS EN 199511:2004 with itsUK National Annex and additional guidance givenin BSI Published Document PD 66931:2012 andBS 81033:2009 for trussed rafter roofs shouldbe considered, especially for singlehipped andnonhipped roofs of greater than 40 pitch todetached houses."
