ID,Text
1_Finnish_EnergyEfficiency,Decree of the Ministry of the Environment  on the Energy Performance of New Buildings.
2_Finnish_EnergyEfficiency,"By decision of the Ministry of the Environment, the following is enacted by virtue of section 117g, subsection 4; section 131, subsection 2 and section 150f, subsection 4 of the Land Use and  Building  Act  (132/1999),  as  amended  by  section  117g,  subsection  4  of  Act  1151/2016; section 131, subsection 2 of Act 41/2014; and section 150f, subsection 4 of Act 41/2014."
3_Finnish_EnergyEfficiency,Section 1 Scope of application.
4_Finnish_EnergyEfficiency,"This Decree applies to the design and construction of new buildings consisting of a roofed construction  having  walls,  for  which  energy  is  used  to  condition  the  indoor  climate."
5_Finnish_EnergyEfficiency,"The Decree applies to extensions of buildings the gross floor area of which is less than 50 m2 only where the building, including the extension, exceeds 50 m2."
6_Finnish_EnergyEfficiency,Section 2 Definitions.
7_Finnish_EnergyEfficiency,For the purposes of this Decree.
8_Finnish_EnergyEfficiency,amount of heat required for ventilation heating means the amount of heat that is required to heat ventilation air flow from outdoor temperature to room temperature.
9_Finnish_EnergyEfficiency,net  heating  energy  demand  for  ventilation  means  the  demand  for  heating  energy consisting of the heating of air after heat recovery to supply air temperature and any heating of air before heat recovery.
10_Finnish_EnergyEfficiency,annual efficiency of ventilation extract air heat recovery means the ratio of the amount of heat recovered and utilised with heat recovery equipment to the amount of heat required for ventilation heating in a year when there is no heat recovery.
11_Finnish_EnergyEfficiency,"specific fan power of ventilation system (kW/(m3/s)) means the total combined amount of electrical power taken from the power supply by all of the fans and any connected frequency converters  and  other  power  control  equipment  in  a  buildings  entire  ventilation  system, divided by the exhaust air flow rate or outdoor air flow rate of the design operating time of the ventilation system, whichever of these is greater."
12_Finnish_EnergyEfficiency,electrical energy consumption of ventilation system means the electricity consumption of fans and any auxiliary units.
13_Finnish_EnergyEfficiency,air leakage rate q50 (m3/(h m2)) means the average hourly rate of leakage air flow of the building  envelope  at  a  pressure  differential  of  50  Pa  per  building  envelope  surface  area calculated on the basis of the buildings total internal dimensions.
14_Finnish_EnergyEfficiency,cooled cold space means a space where a temperature below 17 C in accordance with the intended use is maintained around the year with a cooling system and a possible heating system.
15_Finnish_EnergyEfficiency,cooling  system  energy  consumption  means  the  energy  consumption  for  cooling  energy production and the electricity consumption of auxiliary units.
16_Finnish_EnergyEfficiency,district heat means heat supplied to customer properties via a distribution network.
17_Finnish_EnergyEfficiency,"Directive 2015/1535/EU of the European Parliament and of the Council (32015L1535); OJ L 241, 17.9.2015, p. 1."
18_Finnish_EnergyEfficiency,"Directive 2012/27/EU of the European Parliament and of the Council (32012L0027); OJ L 315, 14.11.2012, p. 1."
19_Finnish_EnergyEfficiency,"Directive 2010/31/EU of the European Parliament and of the Council (32010L0031); OJ L 153, 18.6.2010, p. 13."
20_Finnish_EnergyEfficiency,"Directive 2009/28/EU of the European Parliament and of the Council (32009L0028); OJ L 140, 5.6.2009, p. 16. thermal bridge means a deterioration in the thermal transmittance coefficient of a small part of a building element for solidity or connection reasons."
21_Finnish_EnergyEfficiency,net heated area Anet (m2) means the sum total of the heated floor plate areas calculated on the basis of the internal surfaces of the exterior walls at the perimeter of the floor plates.
22_Finnish_EnergyEfficiency,unheated space means a space that is not intended for continuous occupancy during the heating season and that is not designed to be heated.
23_Finnish_EnergyEfficiency,"net heating energy demand means the total combined net demand for heating energy for a buildings spaces, ventilation and domestic hot water."
24_Finnish_EnergyEfficiency,"heating systems energy consumption means the energy consumption for the heating of spaces, ventilation and domestic hot water."
25_Finnish_EnergyEfficiency,"thermal transmittance coefficient means the density of heat flow that in the steady state penetrates a building element when the difference in temperature between the air spaces on the different sides of the building element is one unit of temperature, and the symbol of which is U and the unit of which is W/(m2K)."
26_Finnish_EnergyEfficiency,warm space means of space in a building the room temperature of which is 17 C or higher.
27_Finnish_EnergyEfficiency,net heating energy demand for domestic hot water means the demand for heating energy consumed  for  the  heating  of  domestic  hot  water  from  the  temperature  of  cold  water  to  the temperature of hot water.
28_Finnish_EnergyEfficiency,mass  timber  building  means  a  building  the  main  construction  material  of  the  exterior walls of which is a mass timber structure with a mean structural thickness of at least 180 mm.
29_Finnish_EnergyEfficiency,"semiwarm  space  means  a  space  not  intended  for  continuous  occupancy  while  merely wearing normal indoor clothing and the temperature of which during the heating season is on average at least 5 C but below 17 C. buildings calculated consumption of delivered energy means energy consumption based on the buildings standardised use that is calculated as being acquired for the building from an electricity distribution network, district heating network, district cooling network or as energy contained by a renewable or fossil fuel."
30_Finnish_EnergyEfficiency,"building  envelope  means  the  building  elements  that  separate  a  warm,  semiwarm, particularly warm or cooled cold space from the outdoor air, the ground or an unheated space."
31_Finnish_EnergyEfficiency,"buildings reference heat loss means the calculated heat loss of a buildings envelope, leakage air and ventilation calculated using reference values."
32_Finnish_EnergyEfficiency,portable building means a movable building intended for temporary use.
33_Finnish_EnergyEfficiency,design solution means a design plan for a building intended to be implemented.
34_Finnish_EnergyEfficiency,"renewable fuel means wood and woodbased and other biofuels, with the exception of peat."
35_Finnish_EnergyEfficiency,demandcontrolled  ventilation  means  a  system  where  air  flows  can  be  controlled  in accordance with load or air quality according to occupancy situation.
36_Finnish_EnergyEfficiency,"energy  sourced  from  environmental  energy  means  heat  or  electrical  energy  generated from sunlight, wind, ground, air or water onsite or near a building using equipment belonging to the building."
37_Finnish_EnergyEfficiency,Section 3 Minimum requirements for building energy performance.
38_Finnish_EnergyEfficiency,"A principal designer, special designer and building designer shall, in accordance with their respective duties, see to the design of a new building so that it, in accordance with its intended use:  1)  is  in  compliance  as  regards  its  energy  performance  with  either  the  calculated  energy performance reference value (Evalue) or structural energy efficiency; 2) creates conditions for energy demand with low energy loss; 3) is energy efficient as regards its calculated room temperature in the summer, its energy consumption  measurement,  its  heat  and  electrical  energy  demand  and,  where  using  a mechanical ventilation system, also as regards the specific fan power of its ventilation system."
39_Finnish_EnergyEfficiency,The E-value calculated in accordance with the buildings intended use category shall not exceed the following limits.
40_Finnish_EnergyEfficiency,"In buildings of intended use category 6 the net heated area of which is a maximum of 1,000 m2, the limit for the Evalue provided above in subsection 1 may be exceeded by 5 kWhE/(m2 In mass timber buildings, the limits for the Evalue provided above in subsections 1 and 2 may be exceeded in buildings of intended use category 1a by 20, in buildings of intended use categories 1bc by 15 and in other buildings of intended use categories 1d8 by 10."
41_Finnish_EnergyEfficiency,"In buildings of intended use category 1d, the limit for the Evalue provided in subsections 1 and 3 may be exceeded by 5 kWhE/(m2 a) when the building is connected to a heating system where heat is conveyed via heat pipes external to the building from a shared heat exchanger or heat generation unit to three or more buildings."
42_Finnish_EnergyEfficiency,The E-value for buildings of intended use category 9 shall be calculated.
43_Finnish_EnergyEfficiency,Design values shall be used in the calculations.
44_Finnish_EnergyEfficiency,Section 5 Building units falling under different intended use categories.
45_Finnish_EnergyEfficiency,The  limits  for  the  E-value  in  accordance  with  each  unit  shall  be  applied  to  building  units falling under different intended use categories.
46_Finnish_EnergyEfficiency,"If the net heated area of a building unit is less than 10 of the entire buildings net heated area or the net heated area of a building unit is less than 50 m2, the building unit may be classified as falling under the intended use category that is the largest in terms of its area."
47_Finnish_EnergyEfficiency,The utilisation of energy sourced from environmental energy using equipment belonging to the building shall be calculated on a monthly basis or for shorter periods of time.
48_Finnish_EnergyEfficiency,Section 7 Calculation of the E-value The  E-value  shall  be  calculated  on  the  basis  of  the  buildings  calculated  consumption  of delivered energy itemised by energy carrier using the energy carrier factors with the following formula.
49_Finnish_EnergyEfficiency,"E is the energy performance reference value, kWhE/(m2 a)."
50_Finnish_EnergyEfficiency,"Qkaukolmp is the annual consumption of district heat, kWh/a."
51_Finnish_EnergyEfficiency,"Qkaukojhdytys is the annual consumption of district cooling, kWh/a."
52_Finnish_EnergyEfficiency,"Qpolttoaina,i is the annual consumption of energy contained in fuel i, kWh/a."
53_Finnish_EnergyEfficiency,"Wshk is the annual consumption of electricity, taking into account any reductions of energy sourced  from  freely  utilisable  environmental  energy  using  equipment  belonging  to  the building to the extent where this has been used in the building to cover energy consumption based on standardised use taking place in the building, kWh/a."
54_Finnish_EnergyEfficiency,fkaukolmp is the energy carrier factor for district heat.
55_Finnish_EnergyEfficiency,fkaukojhdytys is the energy carrier factor for district cooling.
56_Finnish_EnergyEfficiency,"ffuel,i is the energy carrier factor for fuel i. felectricity is the energy carrier factor for electricity."
57_Finnish_EnergyEfficiency,"Anetto is the net heated area of the building, m. The figures to be used as the energy carrier factors are the figures provided under the Land Use and Building Act."
58_Finnish_EnergyEfficiency,Section 8 Calculation method requirements.
59_Finnish_EnergyEfficiency,"Calculations shall take place using a calculation method taking at least the following factors into account: a)  the  thermal  characteristics  of  building  elements  and  their  connections,  the  buildings airtightness, ventilation air flow; b) indoor air temperature; c) the demand for domestic hot water; d) ventilation heat recovery; e)  the  thermal  loads  from  humans,  lighting,  electrical  appliances,  domestic  hot  water  and sunlight; f) the heat and electrical energy demand of the space and ventilation heating system; g) the heat and electrical energy demand of the domestic hot water preparation system; h) the electrical energy demand of the ventilation system; i) the electrical energy demand of consumer equipment and lighting."
60_Finnish_EnergyEfficiency,The  building's  calculated  consumption  of  delivered  energy  may  be  calculated  using  the monthly calculation method for buildings the indoor air temperature control of which does not require cooling or where cooling is only required for spaces the net heated area of which is less than 10 of the buildings net heated area or the net heated area of which is less than 50 m2.
