ID,Text
1_Finnish_FireSafety,Decree of the Ministry of the Environment on the Fire safety of Buildings.
2_Finnish_FireSafety,"By decision of the Ministry of the Environment, the following is hereby laid down pursuant to section 117b of the Land Use and Building Act (132/1999), as amended by Act 958/2012."
3_Finnish_FireSafety,Section 1 Scope of application.
4_Finnish_FireSafety,This Decree shall apply to the construction of new buildings and to the extension of buildings or to the addition of space that is to be counted in a buildings floor area.
5_Finnish_FireSafety,"The Decree shall also apply to repair and alteration work carried out on a building if the building or a part thereof will become more fire hazardous as a result of such repair or alteration work, and the improvement of the buildings fire safety is thereby justified, taking account of the nature of the repair and alteration work and the prevention of risk to personal safety."
6_Finnish_FireSafety,Section 2 Definitions.
7_Finnish_FireSafety,For the purposes of this Decree.
8_Finnish_FireSafety,"automatic fireextinguishing system refers to equipment that detects a fire and extinguishes it at its initial stage, or else keeps it under control until final extinguishing can be carried out."
9_Finnish_FireSafety,passageway refers to a passable route from each point of the floor area leading to an exit.
10_Finnish_FireSafety,thermal insulation product refers to a construction product used for thermal insulation made from one or more materials.
11_Finnish_FireSafety,fire door refers to a door that fulfils the requirements of a prescribed fire class.
12_Finnish_FireSafety,"fireseparating building element refers to a building element that separates fire compartments, meeting the requirements of a prescribed fire class."
13_Finnish_FireSafety,exit passageway refers to a compartmented area through which safe evacuation from the building can be made.
14_Finnish_FireSafety,partitioning refers to the division of a fire compartment or void into smaller areas or volumes by building elements that meet the requirements of a prescribed class in order to limit the spread of fire.
15_Finnish_FireSafety,potentially flammable or explosive atmosphere refers to an area with a significant or major fire or explosion hazard.
16_Finnish_FireSafety,"fire alarm system refers to an installation that automatically and immediately indicates a beginning fire, and also warns of defects endangering its operational reliability."
17_Finnish_FireSafety,"Directive  2015/1535/EU of the European Parliament and of the Council (32015L1535); OJ L 241, 17.9.2015, p. 1 fire load refers to all combustible material in a room and the total thermal energy released through their complete combustion."
18_Finnish_FireSafety,"These materials include the load-bearing, bracing, fire compartmenting and other building elements and furnishings."
19_Finnish_FireSafety,fire load density refers to the fire load per floor area expressed in megajoules per square metre (MJ/m2).
20_Finnish_FireSafety,fire and smokeproof exit refers to an exit passageway that is accessed only though a firecompartmented space on storey level (exit enclosure) and further through a balcony or other space facing the open air in order to prevent the release of fire and combustion gases into the exit.
21_Finnish_FireSafety,fireproof exit refers to an exit passageway that is accessed only through a firecompartmented space (exit enclosure) on storey level.
22_Finnish_FireSafety,fire wall refers to a wall that prevents the spread of fire to the other side of the wall for a stated period of time and withstands the collapse of adjoining buildings or parts thereof and impacts caused by the collapse.
23_Finnish_FireSafety,"fire resistance refers to the ability of a building element to fulfil the requirements prescribed for it for a specified period of time (loadbearing requirement or compartmentation requirement, or both) at a specified load and a specified fire exposure."
24_Finnish_FireSafety,"fire resistance time refers to the period of time, expressed in minutes, for which a building element has been verified to meet the prescribed requirements."
25_Finnish_FireSafety,exit enclosure refers to a compartmented space between two fire compartments.
26_Finnish_FireSafety,An exit enclosure has doors that open separately into each adjoining fire compartment without a need to open the doors at the same time.
27_Finnish_FireSafety,fire compartment refers to an interior area of the building from which the spread of fire is prevented  for  a  stated  period  of  time  by  fireseparating  building  elements  or  by  some  other effective means.
28_Finnish_FireSafety,emergency access road refers to a driveway or other drive access by which fire engines can get sufficiently close to the building and to water supply facilities in case of fire.
29_Finnish_FireSafety,"surface refers to the surface part of walls, ceilings and floors, the properties of which have an influence on the ignition and spread of fire."
30_Finnish_FireSafety,evacuation area refers to a part of a building that is continuous in the building and fit for purpose in relation to the arrangements for evacuation.
31_Finnish_FireSafety,"building element refers to a fixed part of a building, such as a wall, dividing wall, floor, roof, beam, column, door or duct, which may mean both separate construction products with their connections and elements that consist of one or more products."
32_Finnish_FireSafety,extinguishing route refers to a passageway for firefighters that leads from the outside to basement floors.
33_Finnish_FireSafety,"smoke extraction refers to the removal of smoke and heat generated by fire from a building, mechanically or by gravity."
34_Finnish_FireSafety,internal corridor refers to a corridor in an evacuation area that leads to an exit.
35_Finnish_FireSafety,"protective covering refers to a construction product or object composed of a number of construction products that protects a building material behind it from ignition, charring or other fire damage for a stated period of time."
36_Finnish_FireSafety,"smoke detector and fire alarm connected to mains power supply refers to a device that detects a beginning fire, alerts those in the area, is connected to the electrical mains power supply and whose supply of electrical current is ensured."
37_Finnish_FireSafety,"building material refers to a construction product, material or component that is used in construction;  attic refers to the space between the uppermost floor and the roof of a building, where it is possible to move about."
38_Finnish_FireSafety,"exit refers to a door leading directly out from an evacuation area, or a space in the building or outside of it, through which safe evacuation to the ground level or to some other safe place is possible in case of fire."
39_Finnish_FireSafety,"fire escape refers to a route that is less passable than an exit, through which it is possible to escape from a fire to safety."
40_Finnish_FireSafety,"void in the uppermost floor (roof void) refers to a space where it is not possible to move about due to insufficient height, the shape of the space or for some other reason."
41_Finnish_FireSafety,Section 3 Demonstration of compliance with essential technical requirements regarding fire safety.
42_Finnish_FireSafety,"The chief designer, building designer and specialist designer shall, in accordance with their respective duties, take care of the design of the building so that the building meets the essential technical requirements set for fire safety in accordance with its intended use."
