ID,Text
1_Finnish_Health-Humidity,Decree of the Ministry of the Environment on the Moisture Performance of Buildings.
2_Finnish_Health-Humidity,"By decision of the Ministry of the Environment, the following is hereby laid down pursuant to Section 103 h, subsection 3 and Section 117 c, subsection 3 of the Land Use and Building Act (132/1999), as laid down in Section 103 h, subsection 3 of Act 682/2014 and Section 117 c, subsection 3 of Act 958/2012."
3_Finnish_Health-Humidity,Section 1 Scope.
4_Finnish_Health-Humidity,This Decree concerns the design and construction of the moisture performance of new buildings.
5_Finnish_Health-Humidity,Section 2 Definitions.
6_Finnish_Health-Humidity,vapour barrier means a material layer which prevents damage by water vapour diffusion to the structure or in the structure.
7_Finnish_Health-Humidity,air  barrier  means  a  material  layer  which  prevents  damaging  air  current  from  passing through the structure.
8_Finnish_Health-Humidity,capillary flow means the liquid transfer in porous materials due to local differences of porous negative pressure.
9_Finnish_Health-Humidity,"moisture means chemically unbound water in a gaseous, liquid or solid state."
10_Finnish_Health-Humidity,wet room means a nonresidential room where the floor surface is exposed to water due to the rooms intended use and water can be spilled or condensed on the wall surfaces in normal use.
11_Finnish_Health-Humidity,building moisture means moisture exceeding the buildings inservice equilibrium moisture absorbed in the building or construction materials during or before the construction phase that needs to escape.
12_Finnish_Health-Humidity,"crawl space means a purposefully constructed ventilated air space confined by the buildings base floor, foundation wall and foundation."
13_Finnish_Health-Humidity,technical service life means the period when the structure or the building part will be technically viable.
14_Finnish_Health-Humidity,ventilation opening or slot means an opening or slot from outside leading to the ventilation clearance or space allowing air flow to enter in the structure or to escape from it.
15_Finnish_Health-Humidity,ventilation space means a continuous air space in a structure for the flow of ventilation air.
16_Finnish_Health-Humidity,Such a space shall have a perpendicular height or width against the air flow of at least 0.2 metres.
17_Finnish_Health-Humidity,"Directive 2015/1535/EU of the European Parliament and of the Council (32015L1535); OJ L 241, 17.9.2015, p. 1.ventilation gap means a continuous air gap within a structure for the flow of ventilation air."
18_Finnish_Health-Humidity,Such a gap shall have a perpendicular height or width against the air flow of no more than 0.2 metres.
19_Finnish_Health-Humidity,waterproofing means a material layer which withstands continuous exposure to water and hazardous penetration of water into the structure.
20_Finnish_Health-Humidity,water pressure barrier means a material layer with seams and support structures which withstands the continuous water pressure loads imposed on the structure and prevents hazardous penetration of water into the structure due to water pressure.
21_Finnish_Health-Humidity,"water vapour diffusion means water vapour molecule movement in a gas mixture under constant total pressure, with the aim of balancing the gas mixtures vapour content or partial pressure differences in said gas mixture."
22_Finnish_Health-Humidity,"water vapour convection means the flow of water vapour together with the gas mixture contained therein, as a result of the total pressure difference."
23_Finnish_Health-Humidity,water vapour resistance means the ratio between the water vapour concentration prevailing on the surface in various parts of a level layer of material or a layered structure composed of such level layered material or difference between partial pressures of water vapour and a layer of material or water vapour stream diffusing through a structure in a continuous state per area unit.
24_Finnish_Health-Humidity,roof means the structure composed of the roofing and a possible underlay and the structural components immediately supporting them.
25_Finnish_Health-Humidity,Section 3 Essential technical requirements for a buildings moisture performance.
26_Finnish_Health-Humidity,"The principal designer, building designer and special designer shall, in accordance with their respective duties, design the building so that it meets the essential technical requirements for moisture performance in accordance with its intended use."
27_Finnish_Health-Humidity,"For alteration and repair work or alteration of the intended use, the designer shall determine the buildings initial construction method and moisture performance."
28_Finnish_Health-Humidity,"Considering the internal and external moisture stresses, the building, structures and building elements must be functional in terms of their moisture performance through their planned technical service life."
29_Finnish_Health-Humidity,The buildings excessive moisture content or moisture accumulation in the buildings parts or interior surfaces must not damage the building or cause health hazard to the occupants.
