ID,Text
1_Finnish_Health-IndoorClimateAndVentilation,Decree of the Ministry of the Environment on the Indoor Climate and Ventilation of New Buildings.
2_Finnish_Health-IndoorClimateAndVentilation,"By decision of the Ministry of the Environment, the following is enacted by virtue of section 117c,  subsection  3;  section  117d,  subsection  2;  section  117f,  subsection  3;  section  117g, subsection 4; section 117i, subsection 4 and section 150f, subsection 4 of the Land Use and Building Act (132/1999), as amended by section 117c, subsection 3; section 117d, subsection 2;  section  117f,  subsection  3  and  section  117i,  subsection  4  of  Act  958/2012;  section  117g, subsection 4 of Act 1151/2016; and section 150f, subsection 4 of Act 41/2014."
3_Finnish_Health-IndoorClimateAndVentilation,Section 1 Scope of application.
4_Finnish_Health-IndoorClimateAndVentilation,This Decree applies to the design and construction of the indoor climate and ventilation of new buildings.
5_Finnish_Health-IndoorClimateAndVentilation,"The  Decree  does  not,  however,  apply  to  the  design  and  construction  of  agricultural production buildings or such new residential buildings that are intended for occupancy for a period of less than four months a year."
6_Finnish_Health-IndoorClimateAndVentilation,Section 2 Definitions.
7_Finnish_Health-IndoorClimateAndVentilation,For the purposes of this Decree: room temperature means air temperature in the occupied zone.
8_Finnish_Health-IndoorClimateAndVentilation,ventilation means maintaining and improving indoor air quality by changing the air of a room.
9_Finnish_Health-IndoorClimateAndVentilation,"specific  fan  power  of  ventilation  system  (kW/(m3/s))  means  the  combined  amount  of electrical power taken from the power supply by all of the fans and any connected frequency converters  and  other  power  control  equipment  in  a  buildings  entire  ventilation  system, divided by the exhaust air flow rate or outdoor air flow rate of the design operating time of the ventilation system, whichever of these is greater."
10_Finnish_Health-IndoorClimateAndVentilation,"air  conditioning  means  the  control  of  indoor  air  purity,  temperature,  humidity  and velocity by treating supply air or secondary air."
11_Finnish_Health-IndoorClimateAndVentilation,secondary air means air that is returned only to the same room or dwelling.
12_Finnish_Health-IndoorClimateAndVentilation,mechanical  extract  ventilation  system  means  a  system  by  which  air  is  mechanically extracted from a building  with a fan and replaced by outdoor air via externally mounted air transfer devices.
13_Finnish_Health-IndoorClimateAndVentilation,mechanical  supply  and  extract  ventilation  system  means  a  system  by  which  air  is mechanically  extracted  from  a  building  with  a  fan  and  replaced  by  outdoor  air  supplied  by means of a fan.
14_Finnish_Health-IndoorClimateAndVentilation,occupiable  space  means  a  room  intended  for  residence  or  work  that  is  intended  for continuous occupancy exceeding 30 minutes.
15_Finnish_Health-IndoorClimateAndVentilation,"occupied  zone  means  the  part  of  a  room  where  the  requirements  concerning  indoor climate  are  designed  to  be  implemented  and  the  lower  boundary  of  which  is  the  floor,  the upper  boundary  of  which  is  at  the  height  of  1.8  metres  from  the  floor  and  the  vertical boundaries  of  which  are  at  a  distance  of  0.6  metres  from  an  exterior  or  interior  wall  or  a corresponding fixed element of the building."
16_Finnish_Health-IndoorClimateAndVentilation,natural ventilation system means a system the functioning of which is based on pressure differences caused mainly by differences in height and temperature and the action of the wind in a manner whereby indoor air flows out of the building and is replaced by outdoor air via externally mounted air transfer devices.
17_Finnish_Health-IndoorClimateAndVentilation,recirculation air means air which is returned as supply air or as part of supply air in a manner whereby the recirculation air contains extract air from two or more rooms.
18_Finnish_Health-IndoorClimateAndVentilation,extract air means air that is conducted out of a room.
19_Finnish_Health-IndoorClimateAndVentilation,transfer air means air that is conducted from one space to another.
20_Finnish_Health-IndoorClimateAndVentilation,"design  life  means  the  service  life  requirement  set  for  a  ventilation  system,  its  part  or component that is determined by the party engaging in the building project, the contractee or the designer."
21_Finnish_Health-IndoorClimateAndVentilation,"indoor  climate  means  the  synthesis  of  the  chemical,  physical  and  microbiological conditions prevailing in a building."
22_Finnish_Health-IndoorClimateAndVentilation,design occupancy period means the period of time during which a building or space is occupied and the building or space is used in accordance with its designed intended use.
23_Finnish_Health-IndoorClimateAndVentilation,supply air means air that is conducted into a room.
24_Finnish_Health-IndoorClimateAndVentilation,outdoor  air  means  air  that  is  conducted  in  a  controlled  manner  via  ventilation  from outdoors to indoor spaces.
25_Finnish_Health-IndoorClimateAndVentilation,exhaust air means extract air that is conducted out of a building.
26_Finnish_Health-IndoorClimateAndVentilation,Chapter 2  Indoor climate of buildings.
27_Finnish_Health-IndoorClimateAndVentilation,Section 3 Design of indoor climate.
28_Finnish_Health-IndoorClimateAndVentilation,"When  designing  a  building,  a  principal  designer,  special  designer  and  building  designer shall,  in  accordance  with  their  respective  duties,  take  into  account  the  following  factors affecting the indoor climate of the building: 1)  internal  load  factors,  such  as:  thermal  and  moisture  loads,  equipment,  lighting,  human loads, noise sources, processes, construction product emissions and other impurities related to the buildings use; 2)  external  load  factors,  such  as:  weather  and  acoustic  conditions,  outdoor  air  quality  and other environmental factors; 3) the location of the building and the building site."
29_Finnish_Health-IndoorClimateAndVentilation,"A principal designer, special designer and building designer shall, in accordance with their respective duties, take into account the indoor climate in line with the buildings intended use when:  1)  designing  the  buildings  thermal  insulation  and  vapour  barriers  and  the  properties  and solar protection of windows; 2) designing the buildings energy performance; 3)  determining  the  airtightness  of  a  building  envelope,  base  floor  and  shafts  and  the airtightness of structures between spaces; 4) designing a buildings soundproofing and noise control; 5) designing the lighting of spaces and utilisation of daylight; 6) selecting construction materials; 7)  designing  a  buildings  heating  and  cooling  as  well  as  other  building  services  systems, their reliability in operation and space requirements; 8) planning moisture control at the building site; 9) designing the control of cleanliness of the building work and the ventilation system; 10) drawing up the timetables for the building site, acceptance and commissioning; 11)  designing  the  usability,  appropriate  use  and  maintenance  of  a  building  and  technical systems and drawing up usage and maintenance instructions for the building."
30_Finnish_Health-IndoorClimateAndVentilation,"In order to create an indoor climate which is in accordance with the buildings intended use, structural  means  may  be  used,  internal  load  factors  reduced,  the  impact  of  external  and internal load factors limited, and heating, cooling, ventilation and air conditioning technology means and related control and regulation employed."
31_Finnish_Health-IndoorClimateAndVentilation,Section 4  Design values for room temperature.
32_Finnish_Health-IndoorClimateAndVentilation,"During the design period of occupancy, a buildings room temperature shall be comfortable and  not  adversely  affected  by  air  velocity,  thermal  radiation,  temperature  fluctuation, temperature differences or surface temperatures."
33_Finnish_Health-IndoorClimateAndVentilation,A temperature of 21 C shall be used as the design value for room temperature during the heating  season.
34_Finnish_Health-IndoorClimateAndVentilation,The design weather data used as a basis for room temperature control design shall be the test reference year weather data provided for the various climatic zones and the design outdoor air temperatures  for  the  heating  season  provided  for  the  various  climatic  zones  presented  in Annex 1.
