ID,Text
1_Finnish_Health-WaterAndSewerage,Decree of the Ministry of the Environment on water and sewerage systems of buildings.
2_Finnish_Health-WaterAndSewerage,"By decision of the Ministry of the Environment, the following is hereby laid down pursuant to section 117 c, subsection 3; section 117 d, subsection 2; section 117 f, subsection 3; section 117 g, subsection 4; section 117 i, subsection 4; section 122 a, subsection 3; and section 150 f, subsection 4 of the Land Use and Building Act (132/1999), as laid down in section 117 c, subsection 3; section 117 d, subsection 2; section 117 f, subsection 3; and section 117 i, subsection 4 of Act 958/2012, and section 117 g, subsection 4 by Act 1151/2016, and section 122 a, subsection 3 and section 150 f, subsection 4 of Act 41/2014."
3_Finnish_Health-WaterAndSewerage,Chapter 1 General.
4_Finnish_Health-WaterAndSewerage,Section 1 Scope.
5_Finnish_Health-WaterAndSewerage,This Decree applies to the design and construction of water and sewerage systems of new buildings as well as those located on property.
6_Finnish_Health-WaterAndSewerage,Section 2 Definitions.
7_Finnish_Health-WaterAndSewerage,In this Decree.
8_Finnish_Health-WaterAndSewerage,special water system means equipment for the conveyance of other than household water.
9_Finnish_Health-WaterAndSewerage,"storm water means rainwater or meltwater to be conveyed from the ground surface, the roof of a building or from other similar surfaces."
10_Finnish_Health-WaterAndSewerage,air  gap  means  the  free  vertical  distance  between  the  bottom  edge  (or  equivalent)  of  a plumbing fixtures supply pipe and the highest possible water level in the tank (or equivalent) below it.
11_Finnish_Health-WaterAndSewerage,service pipe means a water pipe that serves two or more water points.
12_Finnish_Health-WaterAndSewerage,"waste water means, in general, water to be conveyed away via the sewerage system that is chemically, microbiologically, physically or otherwise polluted."
13_Finnish_Health-WaterAndSewerage,support means a holder that supports a pipe or sewer.
14_Finnish_Health-WaterAndSewerage,throttling valve means a device for regulating the water flow.
15_Finnish_Health-WaterAndSewerage,fixed point means the anchorage of a water pipe or sewer which prevents movement of the pipe from its place of support.
16_Finnish_Health-WaterAndSewerage,collector sewer means a sewer to which two or more drainage points are connected.
17_Finnish_Health-WaterAndSewerage,connector pipe means a water pipe by which the plumbing fixtures are connected to the service pipe.
18_Finnish_Health-WaterAndSewerage,connector sewer means a sewer by which a drainage point is connected to the collector sewer.
19_Finnish_Health-WaterAndSewerage,connecting  point  means  a  point  at  which the  buildings  water  and  sewerage  system  is connected to the water and sewerage system network of a water supply plant.
20_Finnish_Health-WaterAndSewerage,domestic hot water means water produced by the heating of household water.
21_Finnish_Health-WaterAndSewerage,design rainfall means the maximum rainfall occurring within ten minutes.
22_Finnish_Health-WaterAndSewerage,design flow means the base flow value used to design water pipes or sewers.
23_Finnish_Health-WaterAndSewerage,standard flow means the base flow value either obtainable from a water point or to be conveyed to a drainage point.
24_Finnish_Health-WaterAndSewerage,height of backwater means the approved maximum level to which the water level in a sewer can rise at the point where it joins the property.
25_Finnish_Health-WaterAndSewerage,backwater valve means a valve which permits the flow of sewage in one direction only.
26_Finnish_Health-WaterAndSewerage,"pressure drainage means a sewerage system in which waste water, storm water or foundation drainage water is pumped."
27_Finnish_Health-WaterAndSewerage,foundation drainage water means water that has infiltrated into the ground and is conveyed to a sewer or other place of discharge in order to dry the base and foundations of a building.
28_Finnish_Health-WaterAndSewerage,vertical (riser) sewer means a sewer whose gradient relative to the vertical plane is less than 45. fireprevention water system means equipment intended to extinguish fires.
29_Finnish_Health-WaterAndSewerage,shutoff valve means a device to open up or shut off water flow.
