ID,Text
1_Finnish_PlanningAndSupervision,"The  regulations  on  buildings  provided  in this  Decree  shall  also  apply  to  parts  of buildings, structures and parts of structures."
2_Finnish_PlanningAndSupervision,Section 4 Difficult building design task.
3_Finnish_PlanningAndSupervision,"A building design task is difficult if1) the building being designed has more than two storeys or it is large in other respects;2) the building must meet strict architectural, technical or functional requirements because of its intended use or characteristics;3) the environment of the building places special demands related to the adaptation of the buildings architecture to the townscape or landscape; or4) the site places special demands on the design."
4_Finnish_PlanningAndSupervision,Section 5 Exceptionally difficult building design task.
5_Finnish_PlanningAndSupervision,"A building design task is exceptionally difficult if1) the building being designed must meet exceptionally strict architectural, technical or functional requirements because of its intended use or characteristics;2) the building being designed will be located in a protected environment, an environment with high townscape, cultural historical or landscape value, or an environment that is critical for the urban structure; or3) the design work requires the use of novel or otherwise highly demanding design, calculation or dimensioning methods."
6_Finnish_PlanningAndSupervision,Section 8 Difficult design task for loadbearing structures.
7_Finnish_PlanningAndSupervision,"A design task for loadbearing structures is difficult if1) the building being designed has more than two storeys or it is large in other respects; or2) the loadbearing structures must meet strict technical or functional requirements because of the size, structural loads or other characteristic of the building."
8_Finnish_PlanningAndSupervision,Section 9 Exceptionally difficult design task for loadbearing structures.
9_Finnish_PlanningAndSupervision,"A design task for loadbearing structures is exceptionally difficult if1) the loadbearing structures must meet exceptionally strict technical or functional requirements because of the size, structural loads or other characteristic of the building;2) the design work requires the use of novel or otherwise highly demanding design, calculation or dimensioning methods; or3) a flaw or damage in the structure being designed might cause severe damage to people or the environment."
10_Finnish_PlanningAndSupervision,Section 11 Difficult design task for foundation structures.
11_Finnish_PlanningAndSupervision,"A design task for foundation structures is difficult if1) the foundation structures must meet strict technical or functional requirements because of the size of the building, structural loads, difficulty of the structure or other characteristic; or2) the environment or site of the building being designed places special demands on the design."
12_Finnish_PlanningAndSupervision,Section 12 Exceptionally difficult design task for foundation structures.
13_Finnish_PlanningAndSupervision,"A design task for foundation structures is exceptionally difficult if1) the foundation structures must meet exceptionally strict technical or functional requirements because of the size of the building, structural loads, difficulty of the structure or other characteristic;2) the environment or site of the building being designed places exceptional demands on the design;3) the design work requires the use of novel or otherwise highly demanding design, calculation or dimensioning methods; or4) a flaw or damage in the structure being designed might cause severe damage to people or the environment."
14_Finnish_PlanningAndSupervision,Section 15 Difficult ventilation design task.
15_Finnish_PlanningAndSupervision,"A ventilation design task is difficult if the ventilation must meet strict technical or functional requirements because of the size, number of users, intended use or other characteristic of the building."
16_Finnish_PlanningAndSupervision,Section 16 Exceptionally difficult ventilation design task.
17_Finnish_PlanningAndSupervision,"A ventilation design task is exceptionally difficult if1) the ventilation must meet exceptionally strict technical or functional requirements because of the intended use of the building, target level for indoor climate or other characteristic; or2) the design work requires the use of novel or otherwise highly demanding design, calculation or dimensioning methods."
18_Finnish_PlanningAndSupervision,Section 19 Difficult water supply and sewage design task.
19_Finnish_PlanningAndSupervision,"A water supply and sewage design task is difficult if the water supply and sewage system must meet strict technical or functional requirements because of the size, number of users, intended use or other characteristic of the building."
20_Finnish_PlanningAndSupervision,Section 20 Exceptionally difficult water supply and sewage design task.
21_Finnish_PlanningAndSupervision,"A water supply and sewage design task is exceptionally difficult if1) the water supply and sewage system must meet exceptionally strict technical or functional requirements because of the intended use or a characteristic of the building;2) there are severe environmental risks related to the intended use of the building; or3) the design work requires the use of novel or otherwise highly demanding design, calculation or dimensioning methods."
22_Finnish_PlanningAndSupervision,Chapter 8 Entry into force.
23_Finnish_PlanningAndSupervision,Section 24 Entry into force.
24_Finnish_PlanningAndSupervision,This Decree enters into force on 1 June 2015.
