ID,Text
1_Finnish_SafetyOfUse,Decree of the Ministry of the Environment on the operational safety of buildings.
2_Finnish_SafetyOfUse,"By decision of the Ministry of the Environment, the following is enacted under section 117d, subsection 2 and section 117k, subsection 3 of the Land Use and Building Act (132/1999), as it stands in section 117d, subsection 2 of Act 958/2012 and section 117k, subsection 3 of Act 812/2017."
3_Finnish_SafetyOfUse,Chapter 1 General.
4_Finnish_SafetyOfUse,Section 1 Scope of application.
5_Finnish_SafetyOfUse,"This Decree shall apply to new buildings, additions to buildings and spaces increasing the floor area of buildings and to the immediate vicinity of building sites."
6_Finnish_SafetyOfUse,This Decree is to be applied to renovation and alteration work only if the original solution is evidently  unsuitable  for  reasons  related  to  safety  or  health.
7_Finnish_SafetyOfUse,Alteration work must not weaken the safety of the building.
8_Finnish_SafetyOfUse,This  Decree  shall  apply  to  changes  to  the  intended  purpose  of  a  building  if  the  intended purpose of the building or part of the building is changed such that it is associated with a higher risk.
9_Finnish_SafetyOfUse,Section 2 Operational safety of buildings.
10_Finnish_SafetyOfUse,"According to their tasks, the principal designer, building designer and specialised designer must ensure that the building is designed in such a way that it fulfils the essential technical, functional and architectural safety requirements for its purpose."
11_Finnish_SafetyOfUse,Chapter 2 Prevention of falls and missteps.
12_Finnish_SafetyOfUse,Section 3 Staircases.
13_Finnish_SafetyOfUse,"Staircases must be safe, sufficiently spacious and suitable for their purpose."
14_Finnish_SafetyOfUse,The surface of stairs the must not be slippery.
15_Finnish_SafetyOfUse,All evacuation areas must be designed in such a way that it is possible to transport an immobile individual on a stretcher via the exit route.
16_Finnish_SafetyOfUse,"If the indoor access route leading to an evacuation area in a nonresidential building is via the indoor stairs in the area, these stairs must be wide enough that they can be used to transport an immobile individual on a stretcher."
17_Finnish_SafetyOfUse,The stairs between floor levels must be covered.
18_Finnish_SafetyOfUse,"If a residential block of flats does not have a lift, the stairs between floor levels must have natural light and at least one intermediate landing."
19_Finnish_SafetyOfUse,Section 4 Dimensions of indoor staircases.
20_Finnish_SafetyOfUse,The ratio between the riser and the tread of stair steps must be such that the staircase is easy to use for its intended purpose.
21_Finnish_SafetyOfUse,"In the entrance halls and other indoor areas of administrative, service and business premises and in assembly areas, the riser of the steps must be no more than 160 millimetres and the tread must be no less than 300 millimetres."
22_Finnish_SafetyOfUse,"The riser of the indoor steps of dwelling units and living quarters  may  be  no  more  than  190  millimetres,  and  the  tread  must  be  no  less  than  250 millimetres."
23_Finnish_SafetyOfUse,"The rise of the indoor steps of other spaces intended for everyday use may be no more than 180 millimetres, and the tread must be no less than 270 millimetres."
24_Finnish_SafetyOfUse,"If stairs are used only as an emergency exit and if they lead to spaces in a dwelling or accommodation facility other than those that are necessary for living, the riser may be no more than 220 millimetres and the tread must be no less than 220 millimetres."
25_Finnish_SafetyOfUse,The riser of the steps in an exit may be no more than 180 millimetres.
26_Finnish_SafetyOfUse,The tread must be no less than 270 millimetres.
27_Finnish_SafetyOfUse,Section 5 Dimensions of outdoor staircases.
28_Finnish_SafetyOfUse,"The tread of steps in covered or heated outdoor staircases must be no less than 300 millimetres, and the riser may be no more than 160 millimetres."
29_Finnish_SafetyOfUse,"The tread of steps in uncovered or unheated outdoor staircases must be no less than 390 millimetres, and the riser may be no more than 130 millimetres."
30_Finnish_SafetyOfUse,Section 6 Landings.
31_Finnish_SafetyOfUse,"The landings in the indoor and outdoor areas of a building must be safe, sufficiently spacious and suitable for their purpose."
32_Finnish_SafetyOfUse,The side edges of stairs and landings must be fitted with a raised camber to prevent slipping over the edge if a cube measuring more than 50 millimetres in width is able to pass through the opening between the plane level and the handrail or wall.
33_Finnish_SafetyOfUse,"The distance between a door that opens onto a landing and the upper edge of the ramp or flight of stairs must be no less than 400 millimetres on the side wall and no less than 1,500 millimetres on the end wall."
34_Finnish_SafetyOfUse,A landing measuring at least 800 millimetres in length must be reserved in front of and behind a door located in an exit route.
35_Finnish_SafetyOfUse,"Windows, hatches and other similar openings located on the landings of a building that are intended as places where people spend time or pass through must be designed to withstand the weight of a person, if there is any danger of falling."
36_Finnish_SafetyOfUse,Section 7 Barriers.
37_Finnish_SafetyOfUse,"A barrier must be constructed anywhere in the building or its vicinity where there is a drop exceeding half a metre and there is a danger of falling or misstepping, and the nature of the activity concerned does not require the absence of a barrier."
38_Finnish_SafetyOfUse,The barrier must be safe and suitable for its purpose.
39_Finnish_SafetyOfUse,"A guardrail must be used at points with a level difference of over 0.7 metres, if these can be accessed by children."
40_Finnish_SafetyOfUse,The protective part of the barrier must extend to a height of at least 0.7 metres from the surface of the landing or step.
41_Finnish_SafetyOfUse,The barrier must not feature horizontal structures or patterns that make it possible to climb.
42_Finnish_SafetyOfUse,"Instead  of  a  barrier,  some  other  arrangement  may  be  used  to  prevent  falling  or  otherwise achieve the required level of safety, provided that the difference in height does not exceed one metre."
43_Finnish_SafetyOfUse,The total height of the barrier must be one metre if the drop is no more than six metres.
44_Finnish_SafetyOfUse,"At a height greater than this, the total height of the barrier must be 1.2 metres."
