ID,Text
1_UK_DocK_ProtectionFromFalling,"Regulation 4 states that building work should be carried out in such a way that, when work is complete:a.  for new buildings or work on a building that complied with the applicable requirements of the Building Regulations: the building complies with the applicable requirements of the Building Regulations;b.  for work on an existing building that did not comply with the applicable requirements of the Building Regulations:(ii) the work itself must comply with the applicable requirements of the Building Regulationsthe building must be no more unsatisfactory in relation to the requirements than before the work was carried out."
2_UK_DocK_ProtectionFromFalling,The Building Regulations set out requirements that must be met before a building can be used for a new purpose.
3_UK_DocK_ProtectionFromFalling,Materials and workmanship.
4_UK_DocK_ProtectionFromFalling,"In accordance with regulation 7, building work must be carried out in a workmanlike manner using adequate and proper materials."
5_UK_DocK_ProtectionFromFalling,Notification of work.
6_UK_DocK_ProtectionFromFalling,Most building work and material changes of use must be notified to a building control body unless one of the following applies.
7_UK_DocK_ProtectionFromFalling,People who are responsible for building work (e.g.
8_UK_DocK_ProtectionFromFalling,"agent, designer, builder or installer) must ensurethat the work complies with all applicable requirements of the Building Regulations."
9_UK_DocK_ProtectionFromFalling,0.3  Requirement K1 applies to means of access outside a building only when the access is part of the building (i.e.
10_UK_DocK_ProtectionFromFalling,attached).
11_UK_DocK_ProtectionFromFalling,"Where access and circulation routes form part of a means of escape for people in case offire, refer to Approved Document B: Fire safety, Volume 1  Dwelling-houses, and Volume 2 Buildings other than dwelling-houses."
12_UK_DocK_ProtectionFromFalling,"this may be the case the Construction (Design and Management) Regulations 2007 provides detail on procedures for safe use of temporary means of access, together with focus on effective planning and management of risk."
13_UK_DocK_ProtectionFromFalling,Where applicable the following cross-referencing should be made.
14_UK_DocK_ProtectionFromFalling,"Stairs, ladders and ramps shall be so designed, constructed and installed as to be safe for people moving between different levels in or about the building."
15_UK_DocK_ProtectionFromFalling,Note: Two examples of tread proles have been shown together for illustrative purposes only.
16_UK_DocK_ProtectionFromFalling,Stairs and ladders K1.
17_UK_DocK_ProtectionFromFalling,"In a flight of steps, for all steps use the measurements for rise and going given for the three stair categories in Table 1.1 below."
18_UK_DocK_ProtectionFromFalling,"2   For dwellings, for external tapered steps and stairs that are part of the building the going of each step should be a minimum of 280mm."
19_UK_DocK_ProtectionFromFalling,The normal relationship between the dimensions of the rise and going is: twice the rise plus the going (2R  G) equals between 550mm and 700mm.
