ID,Text
1_UK_DocL_V1_ConsrvationOfFuelAndPower,"In a mixeduse building, Approved Document L, Volume 2: Buildings other than dwellings should be consulted for building work in parts of the building that are not dwellings."
2_UK_DocL_V1_ConsrvationOfFuelAndPower,Common areas in buildings that contain multiple dwellings.
3_UK_DocL_V1_ConsrvationOfFuelAndPower,"0.4  For the common areas of buildings that contain more than one dwelling, the following guidance applies."
4_UK_DocL_V1_ConsrvationOfFuelAndPower,"If the common areas are heated, the guidance in Approved Document L, Volume 2: Buildings other than dwellings should be followed."
5_UK_DocL_V1_ConsrvationOfFuelAndPower,"If both (a) and (b) have been achieved, the conservatory or porch should be treated as if it were an extension being added onto an existing dwelling."
6_UK_DocL_V1_ConsrvationOfFuelAndPower,The guidance for new elements in existing dwellings in Section 10 should be followed.
7_UK_DocL_V1_ConsrvationOfFuelAndPower,"If either or both of (a) or (b) has not been achieved, the conservatory or porch should be treated as a room in the new dwelling."
8_UK_DocL_V1_ConsrvationOfFuelAndPower,"The guidance for the whole new dwelling should be followed, including for dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate calculations."
9_UK_DocL_V1_ConsrvationOfFuelAndPower,0.9  Work to a dwelling in paragraph 0.8 must comply with the energy efficiency requirements where this would not unacceptably alter the dwellings character or appearance.
10_UK_DocL_V1_ConsrvationOfFuelAndPower,Historic and traditional dwellings.
11_UK_DocL_V1_ConsrvationOfFuelAndPower,0.10  The energy efficiency of historic and traditional dwellings should be improved only if doing so will not cause longterm deterioration of the buildings fabric or fittings.
12_UK_DocL_V1_ConsrvationOfFuelAndPower,"0.12  In determining whether full energy efficiency improvements should be made, the building control body should consider the advice of the local authoritys conservation officer."
13_UK_DocL_V1_ConsrvationOfFuelAndPower,The floor area of the extension does not exceed 30m2.
14_UK_DocL_V1_ConsrvationOfFuelAndPower,Exemptions for covered areas.
15_UK_DocL_V1_ConsrvationOfFuelAndPower,"0.15  Where a dwelling is extended by adding a carport that is open on at least two sides, a covered yard, a covered walkway or a covered driveway, the work is exempt from the energy efficiency requirements if both of the following apply."
16_UK_DocL_V1_ConsrvationOfFuelAndPower,The floor area of the extension does not exceed 30m2.
17_UK_DocL_V1_ConsrvationOfFuelAndPower,for a workshop or office) should be treated as a dwelling if the commercial part can be reverted to domestic use.
18_UK_DocL_V1_ConsrvationOfFuelAndPower,What constitutes a substantial proportion should be assessed on a casebycase basis by the building control body.
19_UK_DocL_V1_ConsrvationOfFuelAndPower,Guidance in Approved Document C should be followed.
20_UK_DocL_V1_ConsrvationOfFuelAndPower,"Manual controls, where provided, should be within reasonable reach of the occupants."
21_UK_DocL_V1_ConsrvationOfFuelAndPower,Regulations.
22_UK_DocL_V1_ConsrvationOfFuelAndPower,Methodology of calculation of the energy performance.
23_UK_DocL_V1_ConsrvationOfFuelAndPower,"(1)  The Secretary of State shall approve(a)   a methodology of calculation of the energy performance of buildings, including methods for calculating asset ratings and operational ratings of buildings; and(b)   ways in which the energy performance of buildings, as calculated in accordance with the methodology, shall be expressed."
24_UK_DocL_V1_ConsrvationOfFuelAndPower,(2)  In this regulation asset rating means an energy performance indicator determined from the amount of energy estimated to meet the different needs associated with a standardised use of the building; and operational rating means an energy performance indicator determined from the amount of energy consumed during the occupation of a building over a period of time and the energy demand associated with a typical use of the building over that period.
25_UK_DocL_V1_ConsrvationOfFuelAndPower,Minimum energy performance requirements for new buildings.
26_UK_DocL_V1_ConsrvationOfFuelAndPower,"Minimum energy performance requirements shall be approved by the Secretary of State, calculated and expressed in accordance with the methodology approved pursuant to regulation 24, for(a)  new buildings (which shall include new dwellings), in the form of target CO2 emission rates; (b)  new dwellings, in the form of target fabric efficiency rates; and(c)  new buildings in the form of target primary energy rates."
27_UK_DocL_V1_ConsrvationOfFuelAndPower,"Where a building is erected, it must be a nearly zero-energy building."
28_UK_DocL_V1_ConsrvationOfFuelAndPower,CO2 emission rates for new buildings.
29_UK_DocL_V1_ConsrvationOfFuelAndPower,"Where a building is erected, it shall not exceed the target CO2 emission rate for the building that has been approved pursuant to regulation 25, applying the methodology of calculation and expression of the energy performance of buildings approved pursuant to regulation 24."
30_UK_DocL_V1_ConsrvationOfFuelAndPower,"Where a dwelling is erected, it shall not exceed the target fabric energy efficiency rate for the dwelling that has been approved pursuant to regulation 25, applying the methodology of calculation and expression of the energy performance of buildings approved pursuant to regulation 24."
31_UK_DocL_V1_ConsrvationOfFuelAndPower,"Where a building is erected it must not exceed the target primary energy rate for the building which has been approved pursuant to regulation 25(c), applying the methodology of calculation and expression of the energy performance of buildings approved pursuant to regulation 24."
32_UK_DocL_V1_ConsrvationOfFuelAndPower,"(2)   Not later than the day before the work starts, the person carrying out the work shall give the local authority a notice which specifies(a)   the target CO2 emission rate for the building, calculated and expressed in accordance with the methodology approved pursuant to regulation 24,(b)   the CO2 emission rate for the building as designed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24, and(c)  a list of specifications to which the building is to be constructed."
33_UK_DocL_V1_ConsrvationOfFuelAndPower,"(3)   Not later than five days after the work has been completed, the person carrying out the work shall give the local authority(a)  a notice which specifies(i)   the target CO2 emission rate for the building, calculated and expressed in accordance with the methodology approved pursuant to regulation 24,(ii)   the CO2 emission rate for the building as constructed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24, and(iii)  whether the building has been constructed in accordance with the list of specifications referred to in paragraph (2)(c), and if not a list of any changes to those specifications; or(b)   a certificate of the sort referred to in paragraph (4) accompanied by the information referred to in subparagraph (a)."
34_UK_DocL_V1_ConsrvationOfFuelAndPower,"(5)   In this regulation, specifications means specifications used for the calculation of the CO2 emission rate."
35_UK_DocL_V1_ConsrvationOfFuelAndPower,"(2)   Not later than the day before the work starts, the person carrying out the work shall give the local authority a notice which specifies (a)   the target fabric energy efficiency rate for the dwelling, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; (b)   the fabric energy efficiency rate for the dwelling as designed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; and (c)  a list of specifications to which the dwelling is to be constructed."
36_UK_DocL_V1_ConsrvationOfFuelAndPower,"(3)   Not later than five days after the work has been completed, the person carrying out the work shall give the local authority (a)  a notice which specifies (i)   the target fabric energy efficiency rate for the dwelling, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; (ii)   the fabric energy efficiency rate for the dwelling as constructed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; and (iii)  whether the dwelling has been constructed in accordance with the list of specifications referred to in paragraph (2)(c), and if not a list of any changes to those specifications; or (b)   a certificate of the sort referred to in paragraph (4) accompanied by the information referred to in subparagraph (a)."
37_UK_DocL_V1_ConsrvationOfFuelAndPower,"(5)   In this regulation, specifications means specifications used for the calculation of the fabric energy efficiency rate."
38_UK_DocL_V1_ConsrvationOfFuelAndPower,"(2)   Not later than the day before the work starts, the person carrying out the work must give the local authority a notice which specifies(a)   the target primary energy rate for the building calculated and expressed in accordance with the methodology approved pursuant to regulation 24;(b)   the calculated target primary energy rate for the building as designed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; and(c)   the list of specifications to which the building is to be constructed."
39_UK_DocL_V1_ConsrvationOfFuelAndPower,"(3)   Not later than five days after the work has been completed, the person carrying out the work must give the local authority(a)  a notice which specifies(i)   the target primary energy rate for the building calculated and expressed in accordance with the methodology approved pursuant to regulation 24;(ii)  t he calculated target primary energy rate for the building as constructed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; and(iii)  whether the building has been constructed in accordance with the list of specifications referred to in paragraph (2)(c), and if not a list of any changes to those specifications; or(b)   a certificate of the sort referred to in paragraph (4) accompanied by the information referred to in subparagraph (a)."
40_UK_DocL_V1_ConsrvationOfFuelAndPower,"(5)   In this regulation, specifications means specifications used for the calculation of the target primary energy rate."
41_UK_DocL_V1_ConsrvationOfFuelAndPower,"Regulations 26, 26A and 26C."
42_UK_DocL_V1_ConsrvationOfFuelAndPower,"A newly constructed dwelling must be shown to meet regulations 26, 26A and 26C by producing calculations to show that the dwelling meets all of the following."
43_UK_DocL_V1_ConsrvationOfFuelAndPower,"Regulations 27, 27A and 27C."
