ID,Text
1_UK_DocM_V2_AccessAndUseOfBuildings,"In a mixeduse building, this document should be consulted for building work in those parts of the building that are not dwellings."
2_UK_DocM_V2_AccessAndUseOfBuildings,"0.4  In the Secretary of States view, for the purposes of the energy efficiency requirements of the Building Regulations, a building means either of the following."
3_UK_DocM_V2_AccessAndUseOfBuildings,Common areas in buildings that contain multiple dwellings.
4_UK_DocM_V2_AccessAndUseOfBuildings,"0.5  For the common areas of buildings that contain more than one dwelling, the following guidance applies."
5_UK_DocM_V2_AccessAndUseOfBuildings,"If the common areas are heated, the guidance in this approved document should be followed."
6_UK_DocM_V2_AccessAndUseOfBuildings,"If both (a) and (b) have been achieved, the conservatory or porch should be treated as if it were an extension being added onto an existing building."
7_UK_DocM_V2_AccessAndUseOfBuildings,The guidance for new elements in existing buildings.
8_UK_DocM_V2_AccessAndUseOfBuildings,in Section 10 should be followed.
9_UK_DocM_V2_AccessAndUseOfBuildings,"If either or both of (a) or (b) has not been achieved, the conservatory or porch should be treated as a room in the new building."
10_UK_DocM_V2_AccessAndUseOfBuildings,"The guidance for the whole new building should be followed, including for building primary energy rate and building emission rate calculations."
11_UK_DocM_V2_AccessAndUseOfBuildings,"0.8  For the first fitout works in buildings, such as shellandcore office buildings, guidance for new buildings covering first fitout should be followed."
12_UK_DocM_V2_AccessAndUseOfBuildings,For any subsequent fitout works the guidance for existing buildings should be followed.
13_UK_DocM_V2_AccessAndUseOfBuildings,"0.9  For constructing a building from modular subassemblies, or for relocating a modular or portable building, the guidance for new buildings should be followed, taking note of the special considerations for these building types outlined in Section 2."
14_UK_DocM_V2_AccessAndUseOfBuildings,"See paragraphs 2.11 to 2.19.d.  New and existing standalone buildings other than dwellings, with a total useful floor area of less than 50m2."
15_UK_DocM_V2_AccessAndUseOfBuildings,0.13  Work to a building in paragraph 0.12 must comply with the energy efficiency requirements where this would not unacceptably alter the buildings character or appearance.
16_UK_DocM_V2_AccessAndUseOfBuildings,Historic and traditional buildings.
17_UK_DocM_V2_AccessAndUseOfBuildings,0.14  The energy efficiency of historic and traditional buildings should be improved only if doing so will not cause longterm deterioration of the buildings fabric or fittings.
18_UK_DocM_V2_AccessAndUseOfBuildings,"0.16  In determining whether full energy efficiency improvements should be made, the building control body should consider the advice of the local authoritys conservation officer."
19_UK_DocM_V2_AccessAndUseOfBuildings,The floor area of the extension does not exceed 30m2.
20_UK_DocM_V2_AccessAndUseOfBuildings,Exemptions for covered areas.
21_UK_DocM_V2_AccessAndUseOfBuildings,"0.19  Where a building is extended by adding a carport that is open on at least two sides, a covered yard, covered walkway or covered driveway, the work is exempt from the energy efficiency requirements if both of the following apply."
22_UK_DocM_V2_AccessAndUseOfBuildings,The floor area of the extension does not exceed 30m2.
23_UK_DocM_V2_AccessAndUseOfBuildings,for a workshop or office) should be treated as a dwelling if the commercial part can be reverted to domestic use.
24_UK_DocM_V2_AccessAndUseOfBuildings,What constitutes a substantial proportion should be assessed on a casebycase basis by the building control body.
25_UK_DocM_V2_AccessAndUseOfBuildings,Guidance in Approved Document C should be followed.
26_UK_DocM_V2_AccessAndUseOfBuildings,"Manual controls, where provided, should be within reasonable reach of the occupants."
27_UK_DocM_V2_AccessAndUseOfBuildings,Regulations.
28_UK_DocM_V2_AccessAndUseOfBuildings,Methodology of calculation of the energy performance.
29_UK_DocM_V2_AccessAndUseOfBuildings,"(1)  The Secretary of State shall approve(a)   a methodology of calculation of the energy performance of buildings, including methods for calculating asset ratings and operational ratings of buildings; and(b)   ways in which the energy performance of buildings, as calculated in accordance with the methodology, shall be expressed."
30_UK_DocM_V2_AccessAndUseOfBuildings,(2)  In this regulation asset rating means an energy performance indicator determined from the amount of energy estimated to meet the different needs associated with a standardised use of the building; and operational rating means an energy performance indicator determined from the amount of energy consumed during the occupation of a building over a period of time and the energy demand associated with a typical use of the building over that period.
31_UK_DocM_V2_AccessAndUseOfBuildings,Minimum energy performance requirements for new buildings.
32_UK_DocM_V2_AccessAndUseOfBuildings,"Minimum energy performance requirements shall be approved by the Secretary of State, calculated and expressed in accordance with the methodology approved pursuant to regulation 24, for(a)  new buildings (which shall include new dwellings), in the form of target CO2 emission rates; (b)  new dwellings, in the form of target fabric efficiency rates, and(c)  new buildings in the form of target primary energy rates."
33_UK_DocM_V2_AccessAndUseOfBuildings,"Where a building is erected, it must be a nearly zero-energy building."
34_UK_DocM_V2_AccessAndUseOfBuildings,"Where a building is erected, it shall not exceed the target CO2 emission rate for the building that has been approved pursuant to regulation 25, applying the methodology of calculation and expression of the energy performance of buildings approved pursuant to regulation 24."
35_UK_DocM_V2_AccessAndUseOfBuildings,"Where a building is erected it must not exceed the target primary energy rate for the building which has been approved pursuant to regulation 25(c), applying the methodology of calculation and expression of the energy performance of buildings approved pursuant to regulation 24."
36_UK_DocM_V2_AccessAndUseOfBuildings,"(2)   Not later than the day before the work starts, the person carrying out the work shall give the local authority a notice which specifies(a)   the target CO2 emission rate for the building, calculated and expressed in accordance with the methodology approved pursuant to regulation 24,(b)   the CO2 emission rate for the building as designed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24, and(c)  a list of specifications to which the building is to be constructed."
37_UK_DocM_V2_AccessAndUseOfBuildings,"(3)   Not later than five days after the work has been completed, the person carrying out the work shall give the local authority(a)  a notice which specifies(i)   the target CO2 emission rate for the building, calculated and expressed in accordance with the methodology approved pursuant to regulation 24,(ii)   the CO2 emission rate for the building as constructed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24, and(iii)  whether the building has been constructed in accordance with the list of specifications referred to in paragraph (2)(c), and if not a list of any changes to those specifications; or(b)   a certificate of the sort referred to in paragraph (4) accompanied by the information referred to in subparagraph (a)."
38_UK_DocM_V2_AccessAndUseOfBuildings,"(5)   In this regulation, specifications means specifications used for the calculation of the CO2 emission rate."
39_UK_DocM_V2_AccessAndUseOfBuildings,"(2)   Not later than the day before the work starts, the person carrying out the work must give the local authority a notice which specifies(a)   the target primary energy rate for the building calculated and expressed in accordance with the methodology approved pursuant to regulation 24;(b)   the calculated target primary energy rate for the building as designed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; and(c)   the list of specifications to which the building is to be constructed."
40_UK_DocM_V2_AccessAndUseOfBuildings,"(3)   Not later than five days after the work has been completed, the person carrying out the work must give the local authority(a)  a notice which specifies(i)   the target primary energy rate for the building calculated and expressed in accordance with the methodology approved pursuant to regulation 24;(ii)  the calculated target primary energy rate for the building as constructed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; and(iii)  whether the building has been constructed in accordance with the list of specifications referred to in paragraph (2)(c), and if not a list of any changes to those specifications; or(b)   a certificate of the sort referred to in paragraph (4) accompanied by the information referred to in subparagraph (a)."
41_UK_DocM_V2_AccessAndUseOfBuildings,"(5)   In this regulation, specifications means specifications used for the calculation of the target primary energy rate."
42_UK_DocM_V2_AccessAndUseOfBuildings,Regulations 26 and 26C.
43_UK_DocM_V2_AccessAndUseOfBuildings,A newly constructed building must be shown to meet regulations 26 and 26C by producing calculations to show that the building meets both of the following.
44_UK_DocM_V2_AccessAndUseOfBuildings,Regulations 27 and 27C.
45_UK_DocM_V2_AccessAndUseOfBuildings,"Both before and after a newly constructed building is built, a notice must be given to the building control body of the calculations."
46_UK_DocM_V2_AccessAndUseOfBuildings,Section 1: Calculating the target primary energy rate and target emission rate.
47_UK_DocM_V2_AccessAndUseOfBuildings,1.1  A new building must be built to a minimum standard of total energy performance.
48_UK_DocM_V2_AccessAndUseOfBuildings,This must be carried out both at the design stage and when work is complete.
49_UK_DocM_V2_AccessAndUseOfBuildings,"1.3  The target primary energy rate and target emission rate must be calculated using one of the calculation tools in the approved methodology, used in line with the version policy as stated in the methodology."
50_UK_DocM_V2_AccessAndUseOfBuildings,Section 2: Calculating the building primary energy rate and building emission rate.
51_UK_DocM_V2_AccessAndUseOfBuildings,"2.1  The same approved calculation tool must be used to calculate the target primary energy rate, the target emission rate, the building primary energy rate and the building emission rate."
52_UK_DocM_V2_AccessAndUseOfBuildings,2.2  The building primary energy rate and the building emission rate must be calculated at both of the following points using the same calculation tool.
53_UK_DocM_V2_AccessAndUseOfBuildings,"2.3  At both of these points the building primary energy rate and building emission rate must not exceed the target primary energy rate and the target emission rate, respectively."
54_UK_DocM_V2_AccessAndUseOfBuildings,Building control notification.
55_UK_DocM_V2_AccessAndUseOfBuildings,"2.4  The building control body must be notified, before the work starts, of all of the following."
56_UK_DocM_V2_AccessAndUseOfBuildings,"For further details of the design stage BRUKL report, see Appendix C.2.5  The building control body must be notified, once the work is complete, of all of the following."
57_UK_DocM_V2_AccessAndUseOfBuildings,"For further details of the asbuilt BRUKL report, see Appendix C.Heating in the building primary energy rate and the building emission rate calculations."
58_UK_DocM_V2_AccessAndUseOfBuildings,"2.6  When systems are capable of being fired by more than one fuel, the following applies, according to the fuel(s)."
59_UK_DocM_V2_AccessAndUseOfBuildings,a. Biomass heating supplemented by an alternative appliance (e.g.
60_UK_DocM_V2_AccessAndUseOfBuildings,gas) – the CO2 emission factor and primary energy factor should be based on a weighted average for the two fuels.
61_UK_DocM_V2_AccessAndUseOfBuildings,The weighting should be based on the anticipated usage of those fuels.
62_UK_DocM_V2_AccessAndUseOfBuildings,"The building emission rate and building primary energy rate submission should be accompanied by a report, signed by a suitably qualified person, detailing how the combined emission factor has been derived."
63_UK_DocM_V2_AccessAndUseOfBuildings,"Appliances capable of burning both biomass fuel and fossil fuel  the CO2 emission factor and primary energy factor for dualfuel appliances should be used, except where the building is in a smoke control area, when the anthracite figure should be used."
64_UK_DocM_V2_AccessAndUseOfBuildings,"In all other cases, the fuel with the highest CO2 emission factor should be used."
65_UK_DocM_V2_AccessAndUseOfBuildings,"If thermal energy is supplied from a district heat network or community heating system or community cooling system, CO2 emission factors and primary energy factors should be determined by considering the details of the scheme and following the guidance in items (a) to (g) below."
66_UK_DocM_V2_AccessAndUseOfBuildings,The CO2 emission factor and primary energy factor for the heat delivered to the building by the district heat network should be based on the heat network specific factors from Table 32 in the National Calculation Methodology Modelling Guide.
67_UK_DocM_V2_AccessAndUseOfBuildings,e.  CO2 emissions and primary energy associated with the thermal energy streams of a trigeneration scheme should be attributed in proportion to the output energy streams.
68_UK_DocM_V2_AccessAndUseOfBuildings,"In this way, any planned transition of the heat network to an alternative means of heat generation will be properly accounted for."
69_UK_DocM_V2_AccessAndUseOfBuildings,A new district heat network should be taken as meaning any other district heat network.
70_UK_DocM_V2_AccessAndUseOfBuildings,"g.  The building primary energy rate and building emission rate submission should be accompanied by a report, signed by a suitably qualified person, detailing how the CO2 emission factors and primary energy factors have been derived."
71_UK_DocM_V2_AccessAndUseOfBuildings,The primary energy factor for the heat output should be taken as: 1/H  (F  PEF  E  PEE)where:H is the useful heat (excluding heat rejected) in kWhF is the fuel input in kWhPEF is the primary energy factor for the input fuel in kWhPE/kWhE is the electricity production from the scheme in kWhPEE is the primary energy factor for district heat CHP generated electricity in kWhPE/kWh.
72_UK_DocM_V2_AccessAndUseOfBuildings,The CO2 emission factor for the heat output should be taken as:1/H  (F  CO2F  E  CO2E )where: H is the useful heat (excluding heat rejected) in kWhF is the fuel input in kWhCO2F is the emission factor for the input fuel in kgCO2 /kWhE is the electricity production from the scheme in kWhCO2E is the emission factor for district heat CHP generated electricity in kgCO2 /kWh.
